,timestep,depth,Salinity,Theta
319,319,-48.486485,36.15185,25.294584
320,320,-48.63691,36.153133,25.287682
321,321,-48.78734,36.15442,25.280777
322,322,-48.937767,36.1557,25.273874
323,323,-49.088196,36.156982,25.26697
324,324,-49.238625,36.158268,25.260067
325,325,-49.38905,36.15955,25.253164
326,326,-49.53948,36.160835,25.24626
327,327,-49.689907,36.162117,25.239357
328,328,-49.840336,36.1634,25.232454
329,329,-49.99076,36.164684,25.22555
330,330,-50.14119,36.165966,25.218647
331,331,-50.29162,36.16725,25.211742
332,332,-50.442047,36.168533,25.20484
333,333,-50.592472,36.169815,25.197937
334,334,-50.7429,36.1711,25.191032
335,335,-50.89333,36.172382,25.18413
336,336,-51.04376,36.173668,25.177225
337,337,-51.194183,36.17495,25.170322
338,338,-51.344612,36.17623,25.16342
339,339,-51.49504,36.177517,25.156515
340,340,-51.64547,36.1788,25.149612
341,341,-51.795895,36.180084,25.14271
342,342,-51.946323,36.181366,25.135805
343,343,-52.096752,36.182648,25.128902
344,344,-52.24718,36.183933,25.121998
345,345,-52.397606,36.185215,25.115095
346,346,-52.548035,36.1865,25.108192
347,347,-52.698463,36.187733,25.101357
348,348,-52.848892,36.188118,25.095663
349,349,-52.999317,36.188503,25.08997
350,350,-53.149746,36.18889,25.084276
351,351,-53.300175,36.189278,25.078583
352,352,-53.450603,36.189663,25.072891
353,353,-53.601032,36.19005,25.067198
354,354,-53.751457,36.190434,25.061504
355,355,-53.901886,36.19082,25.05581
356,356,-54.052315,36.191208,25.050117
357,357,-54.202744,36.191593,25.044424
358,358,-54.35317,36.19198,25.03873
359,359,-54.503597,36.192364,25.033037
360,360,-54.654026,36.192753,25.027344
361,361,-54.804455,36.19314,25.021652
362,362,-54.95488,36.193523,25.015959
363,363,-55.10531,36.19391,25.010265
364,364,-55.255737,36.194294,25.004572
365,365,-55.406166,36.194683,24.998878
366,366,-55.55659,36.19507,24.993185
367,367,-55.70702,36.195454,24.987492
368,368,-55.85745,36.19584,24.981798
369,369,-56.007877,36.196224,24.976105
370,370,-56.158302,36.196613,24.970413
371,371,-56.30873,36.197,24.96472
372,372,-56.45916,36.197384,24.959026
373,373,-56.60959,36.19777,24.953333
374,374,-56.760014,36.19816,24.94764
375,375,-56.910442,36.198544,24.941946
376,376,-57.06087,36.19893,24.936253
377,377,-57.2113,36.199314,24.93056
378,378,-57.361725,36.1997,24.924866
379,379,-57.512154,36.20009,24.919172
380,380,-57.662582,36.200474,24.91348
381,381,-57.81301,36.20086,24.907787
382,382,-57.963436,36.201244,24.902094
383,383,-58.113865,36.20163,24.8964
384,384,-58.264294,36.20202,24.890707
385,385,-58.414722,36.202404,24.885014
386,386,-58.56515,36.20279,24.87932
387,387,-58.715576,36.203175,24.873627
388,388,-58.866005,36.203564,24.867933
389,389,-59.016434,36.20395,24.862242
390,390,-59.166862,36.204334,24.856548
