timestep,depth,Salinity,lat,lon
289,-43.973648,36.104576,25.601171,-79.479164
290,-44.124077,36.10656,25.601171,-79.479164
291,-44.274506,36.108547,25.601171,-79.479164
292,-44.42493,36.11053,25.601171,-79.479164
293,-44.57536,36.112514,25.601171,-79.479164
294,-44.72579,36.114502,25.601171,-79.479164
295,-44.876217,36.116486,25.601171,-79.479164
296,-45.02664,36.118473,25.601171,-79.479164
297,-45.17707,36.120457,25.601171,-79.479164
298,-45.3275,36.12244,25.601171,-79.479164
299,-45.47793,36.124428,25.601171,-79.479164
300,-45.628353,36.12641,25.601171,-79.479164
301,-45.77878,36.128395,25.601171,-79.479164
302,-45.92921,36.130035,25.601171,-79.479164
303,-46.07964,36.131317,25.601171,-79.479164
304,-46.230064,36.132603,25.601171,-79.479164
305,-46.380493,36.133884,25.601171,-79.479164
306,-46.530922,36.13517,25.601171,-79.479164
307,-46.68135,36.13645,25.601171,-79.479164
308,-46.831776,36.137733,25.601171,-79.479164
309,-46.982204,36.13902,25.601171,-79.479164
310,-47.132633,36.1403,25.601171,-79.479164
311,-47.283062,36.141586,25.601171,-79.479164
312,-47.433487,36.142868,25.601171,-79.479164
313,-47.583916,36.14415,25.601171,-79.479164
314,-47.734344,36.145435,25.601171,-79.479164
315,-47.884773,36.146717,25.601171,-79.479164
316,-48.0352,36.148003,25.601171,-79.479164
317,-48.185627,36.149284,25.601171,-79.479164
318,-48.336056,36.150566,25.601171,-79.479164
319,-48.486485,36.15185,25.601171,-79.479164
320,-48.63691,36.153133,25.601171,-79.479164
321,-48.78734,36.15442,25.601171,-79.479164
322,-48.937767,36.1557,25.601171,-79.479164
323,-49.088196,36.156982,25.601171,-79.479164
324,-49.238625,36.158268,25.601171,-79.479164
325,-49.38905,36.15955,25.601171,-79.479164
326,-49.53948,36.160835,25.601171,-79.479164
327,-49.689907,36.162117,25.601171,-79.479164
328,-49.840336,36.1634,25.601171,-79.479164
329,-49.99076,36.164684,25.601171,-79.479164
330,-50.14119,36.165966,25.601171,-79.479164
331,-50.29162,36.16725,25.601171,-79.479164
332,-50.442047,36.168533,25.601171,-79.479164
333,-50.592472,36.169815,25.601171,-79.479164
334,-50.7429,36.1711,25.601171,-79.479164
335,-50.89333,36.172382,25.601171,-79.479164
336,-51.04376,36.173668,25.601171,-79.479164
337,-51.194183,36.17495,25.601171,-79.479164
338,-51.344612,36.17623,25.601171,-79.479164
339,-51.49504,36.177517,25.601171,-79.479164
340,-51.64547,36.1788,25.601171,-79.479164
341,-51.795895,36.180084,25.601171,-79.479164
342,-51.946323,36.181366,25.601171,-79.479164
343,-52.096752,36.182648,25.601171,-79.479164
344,-52.24718,36.183933,25.601171,-79.479164
345,-52.397606,36.185215,25.601171,-79.479164
346,-52.548035,36.1865,25.601171,-79.479164
347,-52.698463,36.187733,25.601171,-79.479164
348,-52.848892,36.188118,25.601171,-79.479164
349,-52.999317,36.188503,25.601171,-79.479164
350,-53.149746,36.18889,25.601171,-79.479164
351,-53.300175,36.189278,25.601171,-79.479164
352,-53.450603,36.189663,25.601171,-79.479164
353,-53.601032,36.19005,25.601171,-79.479164
354,-53.751457,36.190434,25.601171,-79.479164
355,-53.901886,36.19082,25.601171,-79.479164
356,-54.052315,36.191208,25.601171,-79.479164
357,-54.202744,36.191593,25.601171,-79.479164
358,-54.35317,36.19198,25.601171,-79.479164
359,-54.503597,36.192364,25.601171,-79.479164
360,-54.654026,36.192753,25.601171,-79.479164
361,-54.804455,36.19314,25.601171,-79.479164
362,-54.95488,36.193523,25.601171,-79.479164
363,-55.10531,36.19391,25.601171,-79.479164
364,-55.255737,36.194294,25.601171,-79.479164
365,-55.406166,36.194683,25.601171,-79.479164
366,-55.55659,36.19507,25.601171,-79.479164
367,-55.70702,36.195454,25.601171,-79.479164
368,-55.85745,36.19584,25.601171,-79.479164
369,-56.007877,36.196224,25.601171,-79.479164
370,-56.158302,36.196613,25.601171,-79.479164
371,-56.30873,36.197,25.601171,-79.479164
372,-56.45916,36.197384,25.601171,-79.479164
373,-56.60959,36.19777,25.601171,-79.479164
374,-56.760014,36.19816,25.601171,-79.479164
375,-56.910442,36.198544,25.601171,-79.479164
376,-57.06087,36.19893,25.601171,-79.479164
377,-57.2113,36.199314,25.601171,-79.479164
378,-57.361725,36.1997,25.601171,-79.479164
379,-57.512154,36.20009,25.601171,-79.479164
380,-57.662582,36.200474,25.601171,-79.479164
381,-57.81301,36.20086,25.601171,-79.479164
382,-57.963436,36.201244,25.601171,-79.479164
383,-58.113865,36.20163,25.601171,-79.479164
384,-58.264294,36.20202,25.601171,-79.479164
385,-58.414722,36.202404,25.601171,-79.479164
386,-58.56515,36.20279,25.601171,-79.479164
387,-58.715576,36.203175,25.601171,-79.479164
388,-58.866005,36.203564,25.601171,-79.479164
389,-59.016434,36.20395,25.601171,-79.479164
390,-59.166862,36.204334,25.601171,-79.479164
391,-59.317287,36.20472,25.601171,-79.479164
392,-59.467716,36.205105,25.601171,-79.479164
393,-59.618145,36.205494,25.601171,-79.479164
394,-59.768574,36.20588,25.601171,-79.479164
395,-59.919,36.206264,25.601171,-79.479164
396,-60.069427,36.20665,25.601171,-79.479164
