,depth,salinity
146,-62.997172433578555,36.70367378891602
147,-63.42523525846608,36.704700757325554
148,-63.8532980833536,36.70572772573509
149,-64.28136090824113,36.70675469414463
150,-64.70942373312865,36.70778166255416
151,-65.13748655801618,36.708808630963695
152,-65.5655493829037,36.709835599373235
153,-65.99361220779123,36.71086256778277
154,-66.42167503267875,36.7118895361923
155,-66.84973785756627,36.71291650460184
156,-67.2778006824538,36.713943473011376
157,-67.70586350734132,36.71497044142091
158,-68.13392633222884,36.71599740983045
159,-68.56198915711637,36.717024378239984
160,-68.99005198200389,36.71811563928609
161,-69.41811480689142,36.719232823993316
162,-69.84617763177894,36.72035000870054
163,-70.27424045666646,36.72146719340777
164,-70.702303281554,36.722584378114995
165,-71.13036610644151,36.72370156282222
166,-71.55842893132905,36.72481874752945
