time,N,NE,E,SE,S,SW,W,NW
2023-12-09 15:44:14.388665092,0.8059322680811044,0.7928244739599558,0.7615742969612869,0.739960385830826,0.7469046279689581,0.7511575712950639,0.7723953262036263,0.8086238141736052
2023-12-09 15:45:26.315321572,0.8062098032878569,0.7928244739599558,0.7615742969612869,0.7402377512912746,0.7471821631757104,0.7511575712950639,0.7718402557901215,0.8091787148408062
2023-12-09 15:46:38.241978052,0.8064873384946092,0.7928244739599558,0.7615742969612869,0.7405151167517232,0.7474596983824627,0.7511575712950639,0.7712851853766166,0.8097336155080072
2023-12-09 15:47:50.168634532,0.8066614886954279,0.7928244739599558,0.7617294157940037,0.7408442792713744,0.747840684237265,0.7511575712950639,0.7707817661422626,0.8101852114072102
2023-12-09 15:49:02.095291012,0.8063836922376012,0.7928244739599558,0.7625626352613931,0.7413998721870276,0.7486739037046545,0.7511575712950639,0.7705041395905263,0.8101852114072102
2023-12-09 15:50:14.021947492,0.8061058957797745,0.7928244739599558,0.7633958547287826,0.7419554651026808,0.7495071231720439,0.7511575712950639,0.7702265130387902,0.8101852114072102
2023-12-09 15:51:25.948603972,0.805828099321948,0.7928244739599558,0.764229074196172,0.7425110580183341,0.7503403426394334,0.7511575712950639,0.769948886487054,0.8101852114072102
2023-12-09 15:52:37.875260452,0.8055396421890529,0.7928244739599558,0.7650409743482887,0.7430453246899047,0.7511575712950639,0.7511202554653765,0.769676588032058,0.8101692193746325
2023-12-09 15:53:49.801916932,0.8047063591095104,0.7928244739599558,0.7647633266011491,0.7424896893575018,0.7511575712950639,0.7491758716400899,0.769676588032058,0.8093359362950899
2023-12-09 15:55:01.728573413,0.8038730760299563,0.7928244739599558,0.7644856788540056,0.741934054025091,0.7511575712950639,0.7472314878147763,0.769676588032058,0.8085026532155358
2023-12-09 15:56:13.655229893,0.8030397929504137,0.7928244739599558,0.7642080311068661,0.7413784186926882,0.7511575712950639,0.7452871039894898,0.769676588032058,0.8076693701359934
2023-12-09 15:57:25.581886373,0.8022065098708712,0.7928244739599558,0.7639303833597264,0.7408227833602852,0.7511575712950639,0.7433427201642032,0.769676588032058,0.8068360870564508
2023-12-09 15:58:37.508542853,0.8020836283311149,0.7930610822998225,0.7641259031767003,0.7409774539687076,0.7513941796349306,0.7432924518442543,0.769676588032058,0.8069498138565613
2023-12-09 15:59:49.435199333,0.8020836283311149,0.7933386179117933,0.7644032690421194,0.7412549895806784,0.7516717152469014,0.7435698177096735,0.769676588032058,0.807227349468532
2023-12-09 16:01:01.361855813,0.8020836283311149,0.7936161535237641,0.7646806349075386,0.7415325251926491,0.7519492508588722,0.7438471835750926,0.769676588032058,0.8075048850805028
2023-12-09 16:02:13.288512293,0.8020836283311149,0.7938936891357349,0.7649580007729577,0.74181006080462,0.752226786470843,0.7441245494405118,0.769676588032058,0.8077824206924736
2023-12-09 16:03:25.215168773,0.8028401808574958,0.7937928781987982,0.765235469908024,0.7420875839801262,0.752504193947844,0.7442128515193566,0.7691090868633933,0.8076816097555368
2023-12-09 16:04:37.141825253,0.8039500805903682,0.7935153608317319,0.7655129872750903,0.7423651013471925,0.7527815415795175,0.7442128515193566,0.7682765347621945,0.8074040923884706
2023-12-09 16:05:49.068481733,0.8050599803232406,0.7932378434646656,0.7657905046421566,0.7426426187142587,0.753058889211191,0.7442128515193566,0.7674439826609957,0.8071265750214043
2023-12-09 16:07:00.995138213,0.806169880056113,0.7929603260975994,0.7660680220092229,0.742920136081325,0.7533362368428647,0.7442128515193566,0.7666114305597969,0.806849057654338
2023-12-09 16:08:12.921794693,0.8067132055166946,0.7931072237008261,0.7659211244059961,0.7434801560774047,0.7531892561496455,0.7437886836609204,0.7664866238877367,0.8067132055166946
2023-12-09 16:09:24.848451173,0.8067132055166946,0.7936611208281924,0.7653672272786298,0.7443110864881127,0.7526353590222791,0.7429577532502124,0.767040521015103,0.8067132055166946
2023-12-09 16:10:36.775107653,0.8067132055166946,0.7942150179555588,0.7648133301512634,0.7451420168988209,0.7520814618949128,0.7421268228395043,0.7675944181424694,0.8067132055166946
2023-12-09 16:11:48.701764133,0.8067132055166946,0.7947689150829252,0.764259433023897,0.745972947309529,0.7515275647675463,0.7412958924287962,0.7681483152698358,0.8067132055166946
2023-12-09 16:13:00.628420614,0.8067132055166946,0.7950467435693648,0.7637972181608514,0.746159164951752,0.7511575712950639,0.7412941175676995,0.7684261437562754,0.8066209841261315
2023-12-09 16:14:12.555077094,0.8067132055166946,0.7947691529959582,0.763519457703373,0.7450482930059102,0.7511575712950639,0.7429605104284981,0.7681485531828688,0.806343223668653
2023-12-09 16:15:24.481733574,0.8067132055166946,0.7944915624225517,0.7632416972458946,0.7439374210600683,0.7511575712950639,0.7446269032892967,0.7678709626094623,0.8060654632111746
2023-12-09 16:16:36.408390054,0.8067132055166946,0.7942139718491451,0.7629639367884162,0.7428265491142265,0.7511575712950639,0.7462932961500953,0.7675933720360557,0.8057877027536962
2023-12-09 16:17:48.335046534,0.8066218911743592,0.7938907309126844,0.7626862110851831,0.741852759752737,0.7511575712950639,0.7476399082333804,0.7673157882707626,0.8056012913927983
2023-12-09 16:19:00.261703014,0.8060667928003649,0.79333563253869,0.7624086618981859,0.7415752105657398,0.7511575712950639,0.7473623590463833,0.7670382390837654,0.8058788405797955
2023-12-09 16:20:12.188359494,0.8055116944263704,0.7927805341646955,0.7621311127111886,0.7412976613787426,0.7511575712950639,0.7470848098593861,0.7667606898967682,0.8061563897667928
2023-12-09 16:21:24.115015974,0.8049565960523759,0.792225435790701,0.7618535635241914,0.7410201121917455,0.7511575712950639,0.7468072606723889,0.766483140709771,0.80643393895379
2023-12-09 16:22:36.041672454,0.8044014976783814,0.7916703374167066,0.7615760143371942,0.7407425630047483,0.7511575712950639,0.7465297114853917,0.7662055915227738,0.8067114881407872
2023-12-09 16:23:47.968328934,0.8049496632934875,0.790563870616178,0.7618500971447472,0.7415680774940944,0.7511575712950639,0.747079594476405,0.7659280739634061,0.805885973651441
2023-12-09 16:24:59.894985414,0.8055046980183848,0.7894539709017733,0.7621276145071959,0.7424004598460505,0.7511575712950639,0.7476346292013023,0.7656505566009574,0.805053591299485
