,time,Lizzy_angle,Perry_angle,BentHighNick_angle,radius,frames
3217,2012-06-10 01:45:00,267.6571194151512,141.19707123871046,69.16496218806054,0.47365988909426987,9341
3219,2012-06-10 02:15:00,285.88117880010134,156.2838036353728,75.54635528571112,0.47396796056685153,9342
3238,2012-06-10 07:00:00,111.35589643077104,264.68615430263293,81.42562289987535,0.47689463955637706,9352
3245,2012-06-10 08:45:00,194.32976397017976,268.8807788588485,80.91091159598454,0.4779728897104128,9356
3263,2012-06-10 13:15:00,271.2304100110183,309.8063104525861,73.37851824359018,0.4807455329636476,9365
3266,2012-06-10 14:00:00,272.77688588518777,298.64995288287565,78.75680929037611,0.48120764017252005,9366
3269,2012-06-10 14:45:00,285.73908024292245,314.66193391870667,84.53402952080467,0.4816697473813925,9368
3308,2012-06-11 00:30:00,254.59678236723377,147.53512267756582,74.70538533558988,0.48767714109673443,9388
3313,2012-06-11 01:45:00,252.02765493981823,154.4729327880982,79.43920828892635,0.48844731977818856,9390
3361,2012-06-11 13:45:00,328.8962233753769,245.31759246765932,76.0401519763268,0.4958410351201479,9415
3365,2012-06-11 14:45:00,305.8082225075839,267.7049729884151,77.93875395748353,0.49645717806531114,9417
3408,2012-06-12 01:30:00,261.7821181192461,154.0241381374973,71.32559633154347,0.5030807147258164,9439
3410,2012-06-12 02:00:00,225.60708893870037,172.02883775960174,77.12504320860614,0.503388786198398,9440
3436,2012-06-12 08:30:00,279.26013153613894,262.8255517545671,66.76109417255088,0.5073937153419593,9453
3458,2012-06-12 14:00:00,320.15639186490154,211.16932335120745,74.9844676395416,0.5107825015403573,9464
3460,2012-06-12 14:30:00,277.0068537723285,219.2766768857336,75.31491069050645,0.511090573012939,9465
3465,2012-06-12 15:45:00,350.17436835334615,230.13101220402052,80.89146081256519,0.511860751694393,9468
3509,2012-06-13 02:45:00,244.64762571099612,175.7126886462338,80.67683681549903,0.5186383240911892,9490
3530,2012-06-13 08:00:00,230.357398304396,261.83384868410366,73.8030459861314,0.5218730745532963,9501
3531,2012-06-13 08:15:00,219.20580502696532,260.2914356531518,70.15429798906683,0.5220271102895871,9501
3595,2012-06-14 00:15:00,266.4119924820878,230.76152477178977,74.65537177003392,0.5318853974121996,9534
3600,2012-06-14 01:30:00,265.9402832415953,200.09509657203645,77.32623543271353,0.5326555760936538,9537
3602,2012-06-14 02:00:00,245.34957265010877,206.33406581555505,83.2014551686695,0.5329636475662354,9538
3604,2012-06-14 02:30:00,207.15071771536705,251.48628429254268,72.39962152195443,0.533271719038817,9539
3626,2012-06-14 08:00:00,332.2799201521041,267.5739926727665,75.13552949058464,0.536660505237215,9550
3651,2012-06-14 14:15:00,260.32286413554147,211.9613239551023,76.7448529551474,0.5405113986444855,9563
3654,2012-06-14 15:00:00,265.32247717892307,225.8141969869849,77.8309276141938,0.540973505853358,9564
3699,2012-06-15 02:15:00,246.93166370532583,258.5118724768679,76.57203353804618,0.5479051139864448,9587
3721,2012-06-15 07:45:00,209.00491687950873,280.8722010699829,73.96229138599074,0.5512939001848429,9598
3791,2012-06-16 01:15:00,259.3527826144924,163.72858621829926,76.69137329851901,0.5620764017252002,9634
3793,2012-06-16 01:45:00,269.612705170706,185.09713149678757,78.22204834447075,0.5623844731977818,9635
3798,2012-06-16 03:00:00,218.6165572851916,186.68261125971384,65.10714023206629,0.563154651879236,9638
3817,2012-06-16 07:45:00,231.55032702414536,269.7237194154138,79.42486478730882,0.5660813308687616,9647
3847,2012-06-16 15:15:00,93.4220569940088,174.33841567857576,74.86532532435774,0.5707024029574861,9663
3850,2012-06-16 16:00:00,254.0958505972688,175.78022199728457,76.89121343305891,0.5711645101663586,9664
3888,2012-06-17 01:30:00,271.9132235208918,149.32468466132798,80.80447688668698,0.5770178681454098,9684
3934,2012-06-17 13:00:00,283.9539000261829,277.87140587054023,67.15481498794782,0.5841035120147874,9707
3936,2012-06-17 13:30:00,235.3585329946927,301.10948452078225,75.30819172895292,0.5844115834873691,9708
3938,2012-06-17 14:00:00,181.47536417098064,286.586690029721,82.52603769670145,0.5847196549599507,9709
3944,2012-06-17 15:30:00,292.03231061799426,223.39471018585695,86.67333708785821,0.5856438693776956,9712
3979,2012-06-18 00:15:00,264.51679924882245,170.6891393708088,358.41764033219914,0.5910351201478743,9730
3989,2012-06-18 02:45:00,117.70371824600257,178.51110513514527,357.2365180637491,0.5925754775107825,9735
4031,2012-06-18 13:15:00,231.82040473358992,176.3215468460678,72.23517663589593,0.5990449784349969,9757
4039,2012-06-18 15:15:00,269.70400188245344,209.1339622531782,83.2294043438655,0.6002772643253235,9761
4103,2012-06-19 07:15:00,289.5625512030076,212.62216518824437,286.96322197003275,0.610135551447936,9793
4109,2012-06-19 08:45:00,266.24856747551655,165.02421612128182,269.75591038684433,0.6110597658656809,9796
4134,2012-06-19 15:00:00,268.7895318500555,275.89337329130416,261.23764030115404,0.6149106592729513,9809
4224,2012-06-20 13:30:00,199.8696336947632,259.913247001987,71.64081181778772,0.6287738755391251,9855
4228,2012-06-20 14:30:00,241.48081639789768,242.93333550030007,74.70068038619138,0.6293900184842883,9857
4273,2012-06-21 01:45:00,252.8699854250143,247.9791490913576,72.4758934620337,0.6363216266173752,9880
4323,2012-06-21 14:15:00,315.351603841481,157.42408250818812,74.27335417342294,0.6440234134319162,9906
4368,2012-06-22 01:30:00,263.1076704895026,155.12528707590013,76.18493214678762,0.6509550215650031,9928
4395,2012-06-22 08:15:00,234.5089748927832,149.0551111736258,83.90265209661356,0.6551139864448552,9942
4424,2012-06-22 15:30:00,257.8942815969833,173.68913259793624,71.63071403515352,0.6595810227972889,9957
4464,2012-06-23 01:30:00,225.36576247155605,187.86069435527028,80.38725724161645,0.6657424522489217,9977
4490,2012-06-23 08:00:00,177.64649695873095,159.36902124068263,67.52116548161871,0.669747381392483,9991
4563,2012-06-24 02:15:00,295.11603770460675,276.11196900663646,74.04649161723984,0.6809919901417129,10028
4585,2012-06-24 07:45:00,229.6828365272425,270.8545736283946,75.47257378161373,0.6843807763401109,10039
4704,2012-06-25 13:30:00,281.8119406660239,261.9956690532695,76.05164840657238,0.7027110289587184,10100
4904,2012-06-27 15:30:00,95.0933128245461,307.92330952275086,50.2667174548219,0.7335181762168823,10202
4940,2012-06-28 00:30:00,290.9814418783509,264.80114497016064,302.92094321904057,0.7390634627233518,10220
4949,2012-06-28 02:45:00,182.37235319630813,263.96465135536084,258.95297180176277,0.7404497843499692,10225
4967,2012-06-28 07:15:00,235.3585329946927,192.1988643368771,266.30478380685344,0.7432224276032039,10234
4973,2012-06-28 08:45:00,259.43042310416115,235.59955353780217,274.53177007329504,0.7441466420209488,10237
