depth,lat,lon,getitem-be70884a9fcd6b8bb0d4bffa99fceec4
-7.4215055,25.601171,-79.479164,26.486183
-7.534973,25.601171,-79.479164,26.485796
-7.6484404,25.601171,-79.479164,26.485027
-7.7619076,25.601171,-79.479164,26.483828
-7.875375,25.601171,-79.479164,26.482628
-7.988842,25.601171,-79.479164,26.481428
-8.10231,25.601171,-79.479164,26.48023
-8.215776,25.601171,-79.479164,26.47903
-8.329245,25.601171,-79.479164,26.47783
-8.442711,25.601171,-79.479164,26.476631
-8.556179,25.601171,-79.479164,26.475431
-8.669646,25.601171,-79.479164,26.474232
-8.7831135,25.601171,-79.479164,26.473034
-8.896581,25.601171,-79.479164,26.471834
-9.010048,25.601171,-79.479164,26.470634
-9.123515,25.601171,-79.479164,26.469435
-9.236982,25.601171,-79.479164,26.468235
-9.35045,25.601171,-79.479164,26.467035
-9.463917,25.601171,-79.479164,26.465837
-9.577385,25.601171,-79.479164,26.464638
-9.690852,25.601171,-79.479164,26.463596
-9.804319,25.601171,-79.479164,26.462982
-9.917787,25.601171,-79.479164,26.462366
-10.031254,25.601171,-79.479164,26.461752
-10.144721,25.601171,-79.479164,26.461136
-10.258188,25.601171,-79.479164,26.46052
-10.371655,25.601171,-79.479164,26.459906
-10.485123,25.601171,-79.479164,26.45929
-10.59859,25.601171,-79.479164,26.458675
-10.712057,25.601171,-79.479164,26.45806
-10.825525,25.601171,-79.479164,26.457443
-10.9389925,25.601171,-79.479164,26.45683
-11.05246,25.601171,-79.479164,26.456213
-11.165927,25.601171,-79.479164,26.455599
-11.279394,25.601171,-79.479164,26.454983
-11.392861,25.601171,-79.479164,26.454369
-11.506329,25.601171,-79.479164,26.453753
-11.619796,25.601171,-79.479164,26.453136
-11.733263,25.601171,-79.479164,26.452522
-11.84673,25.601171,-79.479164,26.451906
-11.960197,25.601171,-79.479164,26.451292
-12.073666,25.601171,-79.479164,26.450178
-12.187133,25.601171,-79.479164,26.448677
