timestep,depth,Theta,lat,lon
335,-50.89333,25.18413,25.601171,-79.479164
336,-51.04376,25.177225,25.601171,-79.479164
337,-51.194183,25.170322,25.601171,-79.479164
338,-51.344612,25.16342,25.601171,-79.479164
339,-51.49504,25.156515,25.601171,-79.479164
340,-51.64547,25.149612,25.601171,-79.479164
341,-51.795895,25.14271,25.601171,-79.479164
342,-51.946323,25.135805,25.601171,-79.479164
343,-52.096752,25.128902,25.601171,-79.479164
344,-52.24718,25.121998,25.601171,-79.479164
345,-52.397606,25.115095,25.601171,-79.479164
346,-52.548035,25.108192,25.601171,-79.479164
347,-52.698463,25.101357,25.601171,-79.479164
348,-52.848892,25.095663,25.601171,-79.479164
349,-52.999317,25.08997,25.601171,-79.479164
350,-53.149746,25.084276,25.601171,-79.479164
351,-53.300175,25.078583,25.601171,-79.479164
352,-53.450603,25.072891,25.601171,-79.479164
353,-53.601032,25.067198,25.601171,-79.479164
354,-53.751457,25.061504,25.601171,-79.479164
355,-53.901886,25.05581,25.601171,-79.479164
356,-54.052315,25.050117,25.601171,-79.479164
357,-54.202744,25.044424,25.601171,-79.479164
358,-54.35317,25.03873,25.601171,-79.479164
359,-54.503597,25.033037,25.601171,-79.479164
360,-54.654026,25.027344,25.601171,-79.479164
361,-54.804455,25.021652,25.601171,-79.479164
362,-54.95488,25.015959,25.601171,-79.479164
363,-55.10531,25.010265,25.601171,-79.479164
364,-55.255737,25.004572,25.601171,-79.479164
365,-55.406166,24.998878,25.601171,-79.479164
366,-55.55659,24.993185,25.601171,-79.479164
367,-55.70702,24.987492,25.601171,-79.479164
368,-55.85745,24.981798,25.601171,-79.479164
369,-56.007877,24.976105,25.601171,-79.479164
370,-56.158302,24.970413,25.601171,-79.479164
371,-56.30873,24.96472,25.601171,-79.479164
372,-56.45916,24.959026,25.601171,-79.479164
373,-56.60959,24.953333,25.601171,-79.479164
374,-56.760014,24.94764,25.601171,-79.479164
375,-56.910442,24.941946,25.601171,-79.479164
376,-57.06087,24.936253,25.601171,-79.479164
377,-57.2113,24.93056,25.601171,-79.479164
378,-57.361725,24.924866,25.601171,-79.479164
379,-57.512154,24.919172,25.601171,-79.479164
380,-57.662582,24.91348,25.601171,-79.479164
381,-57.81301,24.907787,25.601171,-79.479164
382,-57.963436,24.902094,25.601171,-79.479164
383,-58.113865,24.8964,25.601171,-79.479164
384,-58.264294,24.890707,25.601171,-79.479164
385,-58.414722,24.885014,25.601171,-79.479164
386,-58.56515,24.87932,25.601171,-79.479164
387,-58.715576,24.873627,25.601171,-79.479164
388,-58.866005,24.867933,25.601171,-79.479164
389,-59.016434,24.862242,25.601171,-79.479164
390,-59.166862,24.856548,25.601171,-79.479164
391,-59.317287,24.850855,25.601171,-79.479164
392,-59.467716,24.845161,25.601171,-79.479164
393,-59.618145,24.839468,25.601171,-79.479164
394,-59.768574,24.833775,25.601171,-79.479164
395,-59.919,24.828081,25.601171,-79.479164
396,-60.069427,24.822388,25.601171,-79.479164
397,-60.219856,24.816694,25.601171,-79.479164
398,-60.370285,24.81157,25.601171,-79.479164
399,-60.52071,24.806822,25.601171,-79.479164
400,-60.67114,24.802074,25.601171,-79.479164
401,-60.821568,24.797327,25.601171,-79.479164
402,-60.971996,24.79258,25.601171,-79.479164
403,-61.12242,24.787832,25.601171,-79.479164
404,-61.27285,24.783085,25.601171,-79.479164
405,-61.42328,24.778337,25.601171,-79.479164
406,-61.573708,24.77359,25.601171,-79.479164
407,-61.724133,24.768843,25.601171,-79.479164
408,-61.87456,24.764095,25.601171,-79.479164
409,-62.02499,24.759348,25.601171,-79.479164
410,-62.17542,24.7546,25.601171,-79.479164
411,-62.325844,24.749853,25.601171,-79.479164
412,-62.476273,24.745106,25.601171,-79.479164
413,-62.6267,24.740358,25.601171,-79.479164
414,-62.77713,24.735611,25.601171,-79.479164
415,-62.927555,24.730865,25.601171,-79.479164
416,-63.077984,24.726118,25.601171,-79.479164
417,-63.228413,24.72137,25.601171,-79.479164
418,-63.37884,24.716623,25.601171,-79.479164
419,-63.52927,24.711876,25.601171,-79.479164
420,-63.679695,24.707129,25.601171,-79.479164
421,-63.830124,24.702381,25.601171,-79.479164
