timestep,depth,V
578,-87.447296,0.9462459
579,-87.597725,0.9465143
580,-87.74815,0.9467827
581,-87.89858,0.9470511
582,-88.04901,0.9473195
583,-88.19943,0.947581
584,-88.34986,0.9478069
585,-88.50029,0.9480328
586,-88.65072,0.9482587
587,-88.80115,0.9484846
588,-88.95158,0.9487105
589,-89.102005,0.9489364
590,-89.25243,0.9491623
591,-89.402855,0.9493882
592,-89.55328,0.94961405
593,-89.70371,0.94983995
594,-89.85414,0.95006585
595,-90.00457,0.95029175
596,-90.155,0.95051765
597,-90.30543,0.95074356
598,-90.45586,0.95096946
599,-90.60628,0.95119536
600,-90.75671,0.9514212
601,-90.907135,0.9516471
602,-91.05756,0.951873
603,-91.20799,0.9520989
604,-91.35842,0.9523248
605,-91.50885,0.9525507
606,-91.65928,0.9527766
607,-91.8097,0.9530025
608,-91.96013,0.9532284
609,-92.11056,0.95345426
610,-92.26099,0.95368016
611,-92.411415,0.95390606
612,-92.561844,0.95413196
613,-92.71227,0.95435786
614,-92.8627,0.95458376
615,-93.01313,0.95480967
616,-93.16355,0.95503557
617,-93.31398,0.9552614
618,-93.46441,0.9554873
619,-93.61484,0.9557132
620,-93.76527,0.9559391
621,-93.915695,0.956165
622,-94.066124,0.9563909
623,-94.21655,0.9566168
624,-94.366974,0.9568427
625,-94.5174,0.9570686
626,-94.66783,0.95729446
627,-94.81826,0.95752037
628,-94.96869,0.95774627
629,-95.11912,0.95797217
630,-95.26955,0.9581981
631,-95.419975,0.958424
632,-95.5704,0.9586499
633,-95.720825,0.9588758
634,-95.871254,0.9591016
635,-96.02168,0.9593275
636,-96.17211,0.9595534
637,-96.32254,0.9597793
638,-96.47297,0.9600052
639,-96.6234,0.9602311
640,-96.77382,0.960457
641,-96.92425,0.9606829
642,-97.07468,0.96090883
643,-97.225105,0.9611347
644,-97.375534,0.9613606
645,-97.52596,0.9615865
646,-97.67639,0.9618124
647,-97.82682,0.9620383
648,-97.97725,0.9622642
649,-98.12767,0.9624901
650,-98.2781,0.962716
651,-98.42853,0.9629418
652,-98.57896,0.9631677
653,-98.729385,0.9633936
654,-98.879814,0.96361953
655,-99.03024,0.96384543
656,-99.18067,0.96407133
657,-99.33109,0.96429724
658,-99.48152,0.96444213
659,-99.63195,0.9645587
660,-99.78238,0.96467537
661,-99.93281,0.964792
662,-100.08324,0.9649086
663,-100.233665,0.96502525
664,-100.384094,0.9651419
665,-100.534515,0.96525854
666,-100.684944,0.9653751
667,-100.83537,0.9654918
668,-100.9858,0.9656084
669,-101.13623,0.965725
670,-101.28666,0.96584165
671,-101.43709,0.9659583
672,-101.58752,0.96607494
673,-101.737946,0.96619153
674,-101.88837,0.9663082
675,-102.038795,0.9664248
676,-102.189224,0.9665414
677,-102.33965,0.96665806
678,-102.49008,0.9667747
679,-102.64051,0.9668913
680,-102.79094,0.96700794
681,-102.94137,0.9671246
682,-103.09179,0.9672412
683,-103.24222,0.9673578
684,-103.39265,0.96747446
685,-103.543076,0.9675911
686,-103.693504,0.9677077
687,-103.84393,0.96782434
688,-103.99436,0.967941
689,-104.14479,0.96805763
690,-104.29521,0.9681742
691,-104.44564,0.96829087
692,-104.59607,0.9684075
693,-104.7465,0.9685241
694,-104.89693,0.96864074
695,-105.047356,0.9687574
696,-105.197784,0.96887404
697,-105.34821,0.9689906
698,-105.498634,0.9691073
699,-105.64906,0.9692239
700,-105.79949,0.9693405
701,-105.94992,0.96945715
702,-106.10035,0.9695738
703,-106.25078,0.9696904
704,-106.40121,0.969807
705,-106.551636,0.9699237
706,-106.702065,0.9700403
707,-106.852486,0.9701569
708,-107.002914,0.97027355
709,-107.15334,0.9703902
710,-107.30377,0.9705068
711,-107.4542,0.97062343
712,-107.60463,0.9707401
713,-107.75506,0.9708567
714,-107.90549,0.9709733
715,-108.05591,0.97108996
716,-108.20634,0.9712066
717,-108.356766,0.9713232
718,-108.507195,0.97143984
719,-108.65762,0.9715565
720,-108.80805,0.9716731
721,-108.95848,0.9717897
722,-109.10891,0.97190636
723,-109.25933,0.972023
724,-109.40976,0.9721396
725,-109.56019,0.97225624
726,-109.71062,0.9723729
727,-109.861046,0.9724895
728,-110.011475,0.9726061
729,-110.1619,0.97272277
730,-110.31233,0.9728394
731,-110.46275,0.972956
732,-110.61318,0.97307265
733,-110.76361,0.9731893
734,-110.91404,0.9733059
735,-111.06447,0.9734225
736,-111.2149,0.9735392
737,-111.365326,0.97365576
738,-111.515755,0.9737724
739,-111.66618,0.9737943
740,-111.816605,0.9736955
741,-111.96703,0.9735968
742,-112.11746,0.97349805
743,-112.26789,0.9733993
744,-112.41832,0.9733006
745,-112.56875,0.9732018
746,-112.71918,0.97310305
747,-112.869606,0.9730043
748,-113.02003,0.9729056
749,-113.170456,0.9728068
750,-113.320885,0.97270805
751,-113.47131,0.97260934
752,-113.62174,0.9725106
753,-113.77217,0.9724118
754,-113.9226,0.9723131
755,-114.07303,0.97221434
756,-114.22345,0.9721156
757,-114.37388,0.9720168
758,-114.52431,0.9719181
759,-114.674736,0.97181934
760,-114.825165,0.9717206
761,-114.97559,0.9716219
762,-115.12602,0.9715231
763,-115.27645,0.97142434
764,-115.42687,0.97132564
765,-115.5773,0.9712269
766,-115.72773,0.9711281
767,-115.87816,0.97102934
768,-116.02859,0.97093064
769,-116.179016,0.9708319
770,-116.329445,0.9707331
771,-116.47987,0.9706344
772,-116.6303,0.97053564
773,-116.78072,0.9704369
774,-116.93115,0.9703381
775,-117.08158,0.9702394
776,-117.23201,0.97014064
777,-117.38244,0.9700419
778,-117.53287,0.96994317
779,-117.6833,0.9698444
780,-117.833725,0.96974564
781,-117.984146,0.96964693
782,-118.134575,0.96954817
783,-118.285,0.9694494
784,-118.43543,0.96935064
785,-118.58586,0.96925193
786,-118.73629,0.96915317
787,-118.88672,0.9690544
788,-119.03715,0.9689557
789,-119.18757,0.96885693
790,-119.338,0.96875817
791,-119.48843,0.9686594
792,-119.638855,0.9685607
793,-119.78928,0.96846193
794,-119.93971,0.96836317
795,-120.09014,0.96826446
796,-120.24057,0.9681657
797,-120.39099,0.96806693
798,-120.54142,0.9679682
799,-120.69185,0.96786946
800,-120.84228,0.9677707
801,-120.99271,0.96767193
802,-121.143135,0.9675732
803,-121.293564,0.96747446
804,-121.44399,0.9673757
805,-121.59442,0.967277
806,-121.74484,0.9671782
807,-121.89527,0.96707946
808,-122.0457,0.9669807
809,-122.19613,0.966882
810,-122.34656,0.9667832
811,-122.49699,0.96668446
812,-122.647415,0.96658576
813,-122.797844,0.966487
814,-122.948265,0.9663882
815,-123.098694,0.9662895
816,-123.24912,0.96619076
817,-123.39955,0.966092
818,-123.54998,0.9659932
819,-123.70041,0.9658945
820,-123.85084,0.96579576
821,-124.00127,0.965697
822,-124.15169,0.9655983
823,-124.30212,0.9654995
824,-124.452545,0.96540076
825,-124.602974,0.965302
826,-124.7534,0.9652033
827,-124.90383,0.9651045
828,-125.05426,0.9648056
829,-125.20469,0.9644906
830,-125.35511,0.96417564
831,-125.50554,0.9638607
832,-125.65597,0.9635457
833,-125.8064,0.9632307
834,-125.956825,0.9629157
835,-126.107254,0.96260077
836,-126.25768,0.96228576
837,-126.40811,0.9619708
838,-126.55854,0.96165586
839,-126.70896,0.96134084
840,-126.85939,0.9610259
841,-127.00982,0.9607109
842,-127.16025,0.96039593
843,-127.31068,0.960081
844,-127.461105,0.959766
845,-127.611534,0.959451
846,-127.76196,0.959136
847,-127.912384,0.95882106
848,-128.0628,0.9585061
849,-128.21324,0.9581911
850,-128.36368,0.9578761
851,-128.5141,0.95756114
852,-128.66452,0.9572462
853,-128.81496,0.9569312
854,-128.96538,0.9566162
855,-129.11581,0.9563012
856,-129.26624,0.95598626
857,-129.41667,0.95567125
858,-129.5671,0.9553563
859,-129.71751,0.95504135
860,-129.86795,0.95472634
861,-130.01837,0.9544114
862,-130.16881,0.9540964
863,-130.31923,0.9537814
864,-130.46967,0.9534664
865,-130.62009,0.95315146
866,-130.77052,0.95283645
867,-130.92094,0.9525215
868,-131.07137,0.95220655
869,-131.2218,0.95189154
870,-131.37222,0.9515766
871,-131.52266,0.9512616
872,-131.67308,0.9509466
873,-131.82352,0.9506316
874,-131.97394,0.95031667
875,-132.12437,0.9500017
876,-132.2748,0.9496867
877,-132.42522,0.94937176
878,-132.57565,0.94905674
879,-132.72607,0.9487418
880,-132.87651,0.9484268
881,-133.02693,0.94811183
882,-133.17737,0.9477969
883,-133.32779,0.9474819
884,-133.47821,0.9471669
885,-133.62865,0.9468519
886,-133.77907,0.94653696
887,-133.9295,0.946222
888,-134.07993,0.945907
889,-134.23036,0.94559205
890,-134.38078,0.94527704
891,-134.53122,0.9449621
892,-134.68164,0.9446471
893,-134.83206,0.9443321
894,-134.9825,0.9440172
895,-135.13292,0.94370216
896,-135.28336,0.9433872
897,-135.43378,0.9430722
898,-135.58421,0.94275725
899,-135.73463,0.9424423
900,-135.88507,0.9421273
901,-136.03549,0.94181234
902,-136.18591,0.9414973
903,-136.33635,0.9411824
904,-136.48677,0.94086736
905,-136.6372,0.9405524
906,-136.78763,0.94023746
907,-136.93806,0.93992245
908,-137.08849,0.9396075
909,-137.2389,0.9392925
910,-137.38934,0.93897754
911,-137.53976,0.9386625
912,-137.6902,0.9383476
913,-137.84062,0.9380326
914,-137.99106,0.9377176
915,-138.14148,0.93740267
916,-138.29192,0.93708766
917,-138.44234,0.9367727
918,-138.59276,0.93645775
919,-138.7432,0.93614274
920,-138.89362,0.9358278
921,-139.04405,0.9355128
922,-139.19447,0.93519783
923,-139.34491,0.9348828
924,-139.49533,0.93458956
925,-139.64575,0.9342997
926,-139.79619,0.9340098
927,-139.94661,0.9337199
928,-140.09705,0.93342996
929,-140.24747,0.9331401
930,-140.3979,0.9328502
931,-140.54832,0.93256027
932,-140.69876,0.93227035
933,-140.84918,0.9319805
934,-140.9996,0.9316906
935,-141.15004,0.93140066
936,-141.30046,0.9311108
937,-141.4509,0.9308209
938,-141.60132,0.93053097
939,-141.75175,0.93024105
940,-141.90218,0.9299512
941,-142.05261,0.9296613
942,-142.20303,0.9293714
943,-142.35345,0.9290815
944,-142.50389,0.9287916
945,-142.65431,0.9285017
946,-142.80475,0.9282118
947,-142.95517,0.9279219
948,-143.1056,0.927632
949,-143.25603,0.9273421
950,-143.40645,0.9270522
951,-143.55688,0.9267623
952,-143.7073,0.9264724
953,-143.85774,0.9261825
954,-144.00816,0.9258926
955,-144.1586,0.9256027
956,-144.30902,0.9253128
957,-144.45946,0.9250229
958,-144.60988,0.924733
959,-144.7603,0.9244431
960,-144.91074,0.9241532
961,-145.06116,0.9238633
962,-145.2116,0.9235734
963,-145.36201,0.9232835
964,-145.51245,0.9229936
965,-145.66287,0.9227037
966,-145.81331,0.92241377
967,-145.96373,0.9221239
968,-146.11415,0.921834
969,-146.26459,0.9215441
970,-146.41501,0.9212542
971,-146.56544,0.9209643
972,-146.71587,0.9206744
973,-146.8663,0.92038447
974,-147.01672,0.9200946
975,-147.16714,0.9198047
976,-147.31758,0.91951483
977,-147.468,0.9192249
978,-147.61844,0.918935
979,-147.76886,0.91864514
980,-147.9193,0.9183552
981,-148.06972,0.9180653
982,-148.22015,0.9177754
983,-148.37057,0.91748554
984,-148.521,0.9171956
985,-148.67143,0.9169057
