timestep,depth,Salinity
369,-42.369434,36.08341
370,-42.482903,36.084904
371,-42.59637,36.086403
372,-42.70984,36.0879
373,-42.823303,36.089397
374,-42.93677,36.090893
375,-43.05024,36.092392
376,-43.163708,36.093887
377,-43.277176,36.095387
378,-43.39064,36.09688
379,-43.50411,36.09838
380,-43.617577,36.099876
381,-43.731045,36.101376
382,-43.84451,36.10287
383,-43.957977,36.10437
384,-44.071445,36.105865
385,-44.184914,36.107365
386,-44.29838,36.10886
387,-44.411846,36.11036
388,-44.525314,36.111855
389,-44.638783,36.113354
390,-44.75225,36.11485
391,-44.865715,36.11635
392,-44.979183,36.117844
393,-45.09265,36.119343
394,-45.20612,36.12084
395,-45.319588,36.122337
396,-45.433052,36.123833
397,-45.54652,36.12533
398,-45.65999,36.126827
399,-45.773457,36.128326
400,-45.88692,36.129673
401,-46.00039,36.130642
402,-46.113857,36.13161
403,-46.227325,36.13258
404,-46.34079,36.133545
405,-46.454258,36.134514
406,-46.567726,36.135483
407,-46.681194,36.13645
408,-46.794662,36.137417
409,-46.908127,36.138386
410,-47.021595,36.139355
411,-47.135063,36.140324
412,-47.24853,36.14129
413,-47.361996,36.142258
414,-47.475464,36.143227
415,-47.588932,36.144196
416,-47.7024,36.14516
417,-47.81587,36.14613
418,-47.929333,36.1471
419,-48.0428,36.148067
420,-48.15627,36.149033
421,-48.269737,36.15
422,-48.3832,36.15097
423,-48.49667,36.15194
424,-48.610138,36.152905
425,-48.723606,36.153873
426,-48.83707,36.154842
427,-48.95054,36.15581
428,-49.064007,36.156776
429,-49.177475,36.157745
430,-49.290943,36.158714
431,-49.404408,36.15968
432,-49.517876,36.16065
433,-49.631344,36.161617
434,-49.744812,36.162586
435,-49.858276,36.16355
436,-49.971745,36.16452
437,-50.085213,36.16549
438,-50.19868,36.16646
439,-50.31215,36.167423
440,-50.425613,36.168392
441,-50.53908,36.16936
442,-50.65255,36.17033
443,-50.766018,36.171295
444,-50.879482,36.172264
445,-50.99295,36.173233
446,-51.10642,36.174202
447,-51.219887,36.175167
448,-51.33335,36.176136
449,-51.44682,36.177105
450,-51.560287,36.178074
451,-51.673756,36.17904
452,-51.787224,36.180008
453,-51.90069,36.180977
454,-52.014156,36.181946
455,-52.127625,36.18291
456,-52.241093,36.18388
457,-52.354557,36.18485
458,-52.468025,36.185818
459,-52.581493,36.186783
460,-52.69496,36.18772
461,-52.80843,36.188015
462,-52.921894,36.188305
463,-53.035362,36.188595
464,-53.14883,36.18889
465,-53.2623,36.18918
466,-53.375763,36.18947
467,-53.48923,36.189762
468,-53.6027,36.190052
469,-53.716167,36.190342
470,-53.829636,36.190636
