,depth,temperature
146,-62.997172433578555,20.6320311215831
147,-63.42523525846608,20.626146258420867
148,-63.8532980833536,20.620261395258634
149,-64.28136090824113,20.614376532096397
150,-64.70942373312865,20.608491668934164
151,-65.13748655801618,20.60260680577193
152,-65.5655493829037,20.596721942609697
153,-65.99361220779123,20.59083707944746
154,-66.42167503267875,20.584952216285227
155,-66.84973785756627,20.579067353122994
156,-67.2778006824538,20.57318248996076
157,-67.70586350734132,20.567297626798524
158,-68.13392633222884,20.56141276363629
159,-68.56198915711637,20.555527900474058
160,-68.99005198200389,20.550217969383347
161,-69.41811480689142,20.54513987295187
162,-69.84617763177894,20.540061776520396
163,-70.27424045666646,20.534983680088924
164,-70.702303281554,20.52990558365745
165,-71.13036610644151,20.524827487225973
166,-71.55842893132905,20.5197493907945
