depth,lat,lon,getitem-be70884a9fcd6b8bb0d4bffa99fceec4
-26.030144,25.012547,-79.979164,26.757175
-26.143612,25.012547,-79.979164,26.755573
-26.257078,25.012547,-79.979164,26.753971
-26.370546,25.012547,-79.979164,26.752369
-26.484013,25.012547,-79.979164,26.750765
-26.59748,25.012547,-79.979164,26.749163
-26.710947,25.012547,-79.979164,26.74756
-26.824415,25.012547,-79.979164,26.745958
-26.937881,25.012547,-79.979164,26.744354
-27.05135,25.012547,-79.979164,26.742752
-27.164818,25.012547,-79.979164,26.74115
-27.278284,25.012547,-79.979164,26.739548
-27.391752,25.012547,-79.979164,26.737944
-27.505219,25.012547,-79.979164,26.736341
-27.618687,25.012547,-79.979164,26.73474
-27.732153,25.012547,-79.979164,26.733137
-27.845621,25.012547,-79.979164,26.731533
-27.959087,25.012547,-79.979164,26.72993
-28.072556,25.012547,-79.979164,26.728329
-28.186022,25.012547,-79.979164,26.726727
-28.29949,25.012547,-79.979164,26.725122
-28.412958,25.012547,-79.979164,26.72352
-28.526424,25.012547,-79.979164,26.721918
-28.639893,25.012547,-79.979164,26.720316
-28.753359,25.012547,-79.979164,26.718712
-28.866827,25.012547,-79.979164,26.71711
-28.980293,25.012547,-79.979164,26.715508
-29.093761,25.012547,-79.979164,26.713903
-29.207228,25.012547,-79.979164,26.712301
-29.320696,25.012547,-79.979164,26.7107
-29.434162,25.012547,-79.979164,26.70813
-29.54763,25.012547,-79.979164,26.705296
-29.661098,25.012547,-79.979164,26.702461
-29.774565,25.012547,-79.979164,26.699629
-29.888033,25.012547,-79.979164,26.696795
-30.0015,25.012547,-79.979164,26.69396
-30.114967,25.012547,-79.979164,26.691128
-30.228434,25.012547,-79.979164,26.688293
-30.341902,25.012547,-79.979164,26.685461
-30.455368,25.012547,-79.979164,26.682627
-30.568836,25.012547,-79.979164,26.679792
-30.682302,25.012547,-79.979164,26.67696
-30.79577,25.012547,-79.979164,26.674126
-30.909239,25.012547,-79.979164,26.671291
-31.022705,25.012547,-79.979164,26.668459
-31.136173,25.012547,-79.979164,26.665625
-31.24964,25.012547,-79.979164,26.662792
-31.363108,25.012547,-79.979164,26.659958
-31.476574,25.012547,-79.979164,26.657124
-31.590042,25.012547,-79.979164,26.654291
-31.703508,25.012547,-79.979164,26.651457
-31.816977,25.012547,-79.979164,26.648624
-31.930443,25.012547,-79.979164,26.64579
-32.04391,25.012547,-79.979164,26.642956
-32.15738,25.012547,-79.979164,26.640123
-32.270844,25.012547,-79.979164,26.63729
-32.384315,25.012547,-79.979164,26.634455
-32.49778,25.012547,-79.979164,26.631622
-32.611248,25.012547,-79.979164,26.628788
-32.724716,25.012547,-79.979164,26.625956
-32.83818,25.012547,-79.979164,26.623121
-32.95165,25.012547,-79.979164,26.620287
-33.065117,25.012547,-79.979164,26.617455
-33.178585,25.012547,-79.979164,26.61462
-33.292053,25.012547,-79.979164,26.611786
-33.405518,25.012547,-79.979164,26.608953
-33.518986,25.012547,-79.979164,26.60612
-33.632454,25.012547,-79.979164,26.603287
-33.745922,25.012547,-79.979164,26.600452
-33.859386,25.012547,-79.979164,26.597618
-33.972855,25.012547,-79.979164,26.594786
-34.086323,25.012547,-79.979164,26.591951
-34.19979,25.012547,-79.979164,26.589117
-34.313255,25.012547,-79.979164,26.58629
-34.426723,25.012547,-79.979164,26.583464
-34.54019,25.012547,-79.979164,26.580639
-34.65366,25.012547,-79.979164,26.577814
-34.767128,25.012547,-79.979164,26.574987
-34.880592,25.012547,-79.979164,26.572163
-34.99406,25.012547,-79.979164,26.569336
-35.10753,25.012547,-79.979164,26.566511
-35.220997,25.012547,-79.979164,26.563686
-35.33446,25.012547,-79.979164,26.56086
-35.44793,25.012547,-79.979164,26.558035
-35.561398,25.012547,-79.979164,26.55521
-35.674866,25.012547,-79.979164,26.552383
-35.788334,25.012547,-79.979164,26.549559
-35.9018,25.012547,-79.979164,26.546734
-36.015266,25.012547,-79.979164,26.543907
-36.128735,25.012547,-79.979164,26.541082
-36.242203,25.012547,-79.979164,26.538256
-36.355667,25.012547,-79.979164,26.53543
-36.469135,25.012547,-79.979164,26.532606
-36.582603,25.012547,-79.979164,26.52978
-36.69607,25.012547,-79.979164,26.526955
-36.80954,25.012547,-79.979164,26.52413
-36.923004,25.012547,-79.979164,26.521303
-37.036472,25.012547,-79.979164,26.518478
-37.14994,25.012547,-79.979164,26.515652
-37.26341,25.012547,-79.979164,26.512827
-37.376873,25.012547,-79.979164,26.510002
-37.49034,25.012547,-79.979164,26.507175
-37.60381,25.012547,-79.979164,26.50435
-37.717278,25.012547,-79.979164,26.501526
-37.83074,25.012547,-79.979164,26.4987
-37.94421,25.012547,-79.979164,26.495874
-38.05768,25.012547,-79.979164,26.49305
-38.171146,25.012547,-79.979164,26.490223
-38.284615,25.012547,-79.979164,26.487398
-38.39808,25.012547,-79.979164,26.484573
-38.511547,25.012547,-79.979164,26.481747
-38.625015,25.012547,-79.979164,26.478922
-38.738483,25.012547,-79.979164,26.476095
-38.851948,25.012547,-79.979164,26.47327
-38.965416,25.012547,-79.979164,26.470446
-39.078884,25.012547,-79.979164,26.467619
-39.192352,25.012547,-79.979164,26.464794
