,depth,W
64,-27.896020792801558,-4.3459337113100806e-05
65,-28.324083617689084,-4.385249885374994e-05
66,-28.752146442576606,-4.4245660594399075e-05
67,-29.180209267464132,-4.4638822335048216e-05
68,-29.608272092351655,-4.5166482726901e-05
69,-30.03633491723918,-4.5778330064474126e-05
70,-30.464397742126703,-4.639017740204725e-05
71,-30.89246056701423,-4.7002024739620375e-05
72,-31.32052339190175,-4.761387207719349e-05
73,-31.748586216789278,-4.8225719414766617e-05
74,-32.1766490416768,-4.8837566752339734e-05
75,-32.60471186656432,-4.944941408991286e-05
76,-33.03277469145185,-5.006126142748598e-05
77,-33.460837516339375,-5.067310876505911e-05
78,-33.8889003412269,-5.128495610263223e-05
79,-34.31696316611442,-5.186572545735748e-05
80,-34.745025991001945,-5.230471583670903e-05
81,-35.17308881588947,-5.274370621606058e-05
82,-35.601151640777,-5.3182696595412124e-05
83,-36.02921446566452,-5.362168697476367e-05
84,-36.45727729055204,-5.4060677354115215e-05
85,-36.88534011543957,-5.449966773346676e-05
86,-37.313402940327094,-5.4938658112818305e-05
87,-37.74146576521462,-5.537764849216985e-05
88,-38.16952859010214,-5.5816638871521396e-05
89,-38.597591414989665,-5.625562925087294e-05
90,-39.02565423987719,-5.6694619630224486e-05
91,-39.45371706476472,-5.713361000957604e-05
92,-39.881779889652236,-5.7554094762291626e-05
93,-40.30984271453976,-5.794255893297557e-05
94,-40.73790553942729,-5.833102310365952e-05
95,-41.165968364314814,-5.8719487274343465e-05
96,-41.59403118920234,-5.9107951445027414e-05
97,-42.02209401408986,-5.9496415615711356e-05
98,-42.450156838977385,-5.9884879786395304e-05
99,-42.87821966386491,-6.027334395707925e-05
100,-43.30628248875244,-6.0661808127763195e-05
101,-43.734345313639956,-6.105027229844714e-05
102,-44.16240813852748,-6.143873646913109e-05
103,-44.59047096341501,-6.182720063981503e-05
104,-45.018533788302534,-6.221566481049898e-05
105,-45.44659661319005,-6.260412898118292e-05
106,-45.87465943807758,-6.300003432919601e-05
107,-46.302722262965105,-6.355051987961259e-05
108,-46.73078508785263,-6.410100543002918e-05
109,-47.15884791274015,-6.465149098044575e-05
110,-47.586910737627676,-6.520197653086233e-05
111,-48.0149735625152,-6.575246208127892e-05
112,-48.44303638740273,-6.63029476316955e-05
113,-48.871099212290254,-6.68534331821121e-05
114,-49.29916203717777,-6.740391873252867e-05
115,-49.7272248620653,-6.795440428294525e-05
116,-50.155287686952825,-6.850488983336184e-05
117,-50.58335051184035,-6.905537538377842e-05
118,-51.01141333672787,-6.9605860934195e-05
119,-51.439476161615396,-7.015634648461157e-05
120,-51.86753898650292,-7.070683203502817e-05
121,-52.29560181139045,-7.125731758544474e-05
122,-52.72366463627797,-7.182123193845392e-05
123,-53.15172746116549,-7.254246345199789e-05
124,-53.57979028605302,-7.326369496554185e-05
125,-54.007853110940545,-7.398492647908582e-05
126,-54.43591593582806,-7.470615799262977e-05
127,-54.86397876071559,-7.542738950617374e-05
128,-55.292041585603116,-7.614862101971771e-05
129,-55.72010441049064,-7.686985253326168e-05
130,-56.14816723537817,-7.759108404680564e-05
131,-56.57623006026569,-7.83123155603496e-05
132,-57.00429288515321,-7.903354707389357e-05
133,-57.43235571004074,-7.975477858743753e-05
134,-57.860418534928264,-8.04760101009815e-05
135,-58.28848135981578,-8.119724161452545e-05
136,-58.71654418470331,-8.191847312806942e-05
