CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,866,Heartbeat Tempo Mapped-35.L   ,00:05:46:04,00:05:46:22,00:00:00:17,Unmuted,10384,17,0
1,867,Heartbeat Tempo Mapped-36.L   ,00:05:46:25,00:05:47:03,00:00:00:07,Unmuted,10405,7,1
1,868,Heartbeat Tempo Mapped-37.L   ,00:05:47:05,00:05:47:22,00:00:00:17,Unmuted,10415,17,0
1,869,Heartbeat Tempo Mapped-38.L   ,00:05:47:26,00:05:48:03,00:00:00:07,Unmuted,10436,7,1
1,870,Heartbeat Tempo Mapped-39.L   ,00:05:48:06,00:05:48:23,00:00:00:17,Unmuted,10446,17,0
1,871,Heartbeat Tempo Mapped-40.L   ,00:05:48:26,00:05:49:04,00:00:00:07,Unmuted,10466,7,1
1,873,Heartbeat Tempo Mapped-42.L   ,00:05:49:06,00:05:49:23,00:00:00:16,Unmuted,10476,16,1
1,874,Heartbeat Tempo Mapped-34.L   ,00:05:49:27,00:05:50:04,00:00:00:07,Unmuted,10497,7,0
1,875,Heartbeat Tempo Mapped-35.L   ,00:05:50:06,00:05:50:23,00:00:00:17,Unmuted,10506,17,1
1,876,Heartbeat Tempo Mapped-36.L   ,00:05:50:27,00:05:51:04,00:00:00:07,Unmuted,10527,7,0
1,877,Heartbeat Tempo Mapped-37.L   ,00:05:51:06,00:05:51:24,00:00:00:17,Unmuted,10536,17,1
1,878,Heartbeat Tempo Mapped-38.L   ,00:05:51:27,00:05:52:05,00:00:00:07,Unmuted,10557,7,0
1,879,Heartbeat Tempo Mapped-39.L   ,00:05:52:07,00:05:52:24,00:00:00:17,Unmuted,10567,17,1
1,880,Heartbeat Tempo Mapped-40.L   ,00:05:52:28,00:05:53:06,00:00:00:07,Unmuted,10588,7,0
1,882,Heartbeat Tempo Mapped-42.L   ,00:05:53:08,00:05:53:25,00:00:00:16,Unmuted,10598,16,0
1,883,Heartbeat Tempo Mapped-34.L   ,00:05:53:29,00:05:54:06,00:00:00:07,Unmuted,10619,7,1
1,884,Heartbeat Tempo Mapped-35.L   ,00:05:54:08,00:05:54:25,00:00:00:17,Unmuted,10628,17,0
1,885,Heartbeat Tempo Mapped-36.L   ,00:05:54:29,00:05:55:07,00:00:00:07,Unmuted,10649,7,1
1,886,Heartbeat Tempo Mapped-37.L   ,00:05:55:09,00:05:55:26,00:00:00:17,Unmuted,10659,17,0
1,887,Heartbeat Tempo Mapped-38.L   ,00:05:56:00,00:05:56:08,00:00:00:07,Unmuted,10680,7,1
1,888,Heartbeat Tempo Mapped-39.L   ,00:05:56:10,00:05:56:27,00:00:00:17,Unmuted,10690,17,0
1,889,Heartbeat Tempo Mapped-40.L   ,00:05:57:00,00:05:57:08,00:00:00:07,Unmuted,10710,7,1
1,891,Heartbeat Tempo Mapped-65.L   ,00:05:57:10,00:05:57:27,00:00:00:17,Unmuted,10720,17,1
1,892,Heartbeat Tempo Mapped-34.L   ,00:05:58:01,00:05:58:08,00:00:00:07,Unmuted,10741,7,0
1,893,Heartbeat Tempo Mapped-35.L   ,00:05:58:10,00:05:58:28,00:00:00:17,Unmuted,10750,17,1
1,894,Heartbeat Tempo Mapped-36.L   ,00:05:59:02,00:05:59:09,00:00:00:07,Unmuted,10772,7,0
1,895,Heartbeat Tempo Mapped-37.L   ,00:05:59:11,00:05:59:29,00:00:00:17,Unmuted,10781,17,1
1,896,Heartbeat Tempo Mapped-38.L   ,00:06:00:02,00:06:00:10,00:00:00:07,Unmuted,10802,7,0
1,897,Heartbeat Tempo Mapped-39.L   ,00:06:00:13,00:06:01:00,00:00:00:17,Unmuted,10813,17,1
1,898,Heartbeat Tempo Mapped-40.L   ,00:06:01:03,00:06:01:11,00:00:00:07,Unmuted,10833,7,0
1,900,Heartbeat Tempo Mapped-66.L   ,00:06:01:13,00:06:02:00,00:00:00:17,Unmuted,10843,17,0
1,901,Heartbeat Tempo Mapped-34.L   ,00:06:02:04,00:06:02:11,00:00:00:07,Unmuted,10864,7,1
1,902,Heartbeat Tempo Mapped-35.L   ,00:06:02:13,00:06:03:01,00:00:00:17,Unmuted,10873,17,0
1,903,Heartbeat Tempo Mapped-36.L   ,00:06:03:05,00:06:03:12,00:00:00:07,Unmuted,10895,7,1
1,904,Heartbeat Tempo Mapped-37.L   ,00:06:03:15,00:06:04:02,00:00:00:17,Unmuted,10905,17,0
1,905,Heartbeat Tempo Mapped-38.L   ,00:06:04:06,00:06:04:14,00:00:00:07,Unmuted,10926,7,1
1,906,Heartbeat Tempo Mapped-39.L   ,00:06:04:16,00:06:05:03,00:00:00:17,Unmuted,10936,17,0
1,907,Heartbeat Tempo Mapped-40.L   ,00:06:05:07,00:06:05:15,00:00:00:07,Unmuted,10957,7,1
1,909,Heartbeat Tempo Mapped-67.L   ,00:06:05:17,00:06:06:04,00:00:00:17,Unmuted,10967,17,1
1,910,Heartbeat Tempo Mapped-34.L   ,00:06:06:09,00:06:06:16,00:00:00:07,Unmuted,10989,7,0
1,911,Heartbeat Tempo Mapped-35.L   ,00:06:06:18,00:06:07:06,00:00:00:17,Unmuted,10998,17,1
1,912,Heartbeat Tempo Mapped-36.L   ,00:06:07:11,00:06:07:18,00:00:00:07,Unmuted,11021,7,0
1,913,Heartbeat Tempo Mapped-37.L   ,00:06:07:21,00:06:08:08,00:00:00:17,Unmuted,11031,17,1
1,914,Heartbeat Tempo Mapped-38.L   ,00:06:08:13,00:06:08:21,00:00:00:07,Unmuted,11053,7,0
1,915,Heartbeat Tempo Mapped-39.L   ,00:06:08:23,00:06:09:11,00:00:00:17,Unmuted,11063,17,1
1,916,Heartbeat Tempo Mapped-40.L   ,00:06:09:16,00:06:09:23,00:00:00:07,Unmuted,11086,7,0
1,918,Heartbeat Tempo Mapped-68.L   ,00:06:09:26,00:06:10:13,00:00:00:17,Unmuted,11096,17,0
1,919,Heartbeat Tempo Mapped-34.L   ,00:06:10:19,00:06:10:26,00:00:00:07,Unmuted,11119,7,1
1,920,Heartbeat Tempo Mapped-35.L   ,00:06:10:28,00:06:11:16,00:00:00:17,Unmuted,11128,17,0
1,921,Heartbeat Tempo Mapped-36.L   ,00:06:11:22,00:06:11:29,00:00:00:07,Unmuted,11152,7,1
1,922,Heartbeat Tempo Mapped-37.L   ,00:06:12:02,00:06:12:19,00:00:00:17,Unmuted,11162,17,0
1,923,Heartbeat Tempo Mapped-38.L   ,00:06:12:25,00:06:13:03,00:00:00:07,Unmuted,11185,7,1
1,924,Heartbeat Tempo Mapped-39.L   ,00:06:13:06,00:06:13:23,00:00:00:17,Unmuted,11196,17,0
1,925,Heartbeat Tempo Mapped-40.L   ,00:06:13:29,00:06:14:07,00:00:00:07,Unmuted,11219,7,1
1,927,Heartbeat Tempo Mapped-69.L   ,00:06:14:10,00:06:14:28,00:00:00:17,Unmuted,11230,17,1
1,928,Heartbeat Tempo Mapped-34.L   ,00:06:15:04,00:06:15:11,00:00:00:07,Unmuted,11254,7,0
1,929,Heartbeat Tempo Mapped-35.L   ,00:06:15:14,00:06:16:02,00:00:00:17,Unmuted,11264,17,1
1,930,Heartbeat Tempo Mapped-36.L   ,00:06:16:09,00:06:16:16,00:00:00:07,Unmuted,11289,7,0
1,931,Heartbeat Tempo Mapped-37.L   ,00:06:16:19,00:06:17:07,00:00:00:17,Unmuted,11299,17,1
1,932,Heartbeat Tempo Mapped-38.L   ,00:06:17:14,00:06:17:22,00:00:00:07,Unmuted,11324,7,0
1,933,Heartbeat Tempo Mapped-39.L   ,00:06:17:25,00:06:18:12,00:00:00:17,Unmuted,11335,17,1
1,934,Heartbeat Tempo Mapped-40.L   ,00:06:18:20,00:06:18:27,00:00:00:07,Unmuted,11360,7,0
1,936,Heartbeat Tempo Mapped-70.L   ,00:06:19:01,00:06:19:18,00:00:00:17,Unmuted,11371,17,0
1,937,Heartbeat Tempo Mapped-34.L   ,00:06:19:26,00:06:20:03,00:00:00:07,Unmuted,11396,7,1
1,938,Heartbeat Tempo Mapped-35.L   ,00:06:20:06,00:06:20:24,00:00:00:17,Unmuted,11406,17,0
1,939,Heartbeat Tempo Mapped-36.L   ,00:06:21:02,00:06:21:09,00:00:00:07,Unmuted,11432,7,1
1,940,Heartbeat Tempo Mapped-37.L   ,00:06:21:13,00:06:22:01,00:00:00:17,Unmuted,11443,17,0
1,941,Heartbeat Tempo Mapped-38.L   ,00:06:22:09,00:06:22:17,00:00:00:07,Unmuted,11469,7,1
1,942,Heartbeat Tempo Mapped-39.L   ,00:06:22:21,00:06:23:08,00:00:00:17,Unmuted,11481,17,0
1,943,Heartbeat Tempo Mapped-40.L   ,00:06:23:16,00:06:23:24,00:00:00:07,Unmuted,11506,7,1
1,945,Heartbeat Tempo Mapped-71.L   ,00:06:23:28,00:06:24:15,00:00:00:17,Unmuted,11518,17,1
1,946,Heartbeat Tempo Mapped-34.L   ,00:06:24:24,00:06:25:01,00:00:00:07,Unmuted,11544,7,0
1,947,Heartbeat Tempo Mapped-35.L   ,00:06:25:06,00:06:25:23,00:00:00:17,Unmuted,11556,17,1
1,948,Heartbeat Tempo Mapped-36.L   ,00:06:26:02,00:06:26:10,00:00:00:07,Unmuted,11582,7,0
1,949,Heartbeat Tempo Mapped-37.L   ,00:06:26:14,00:06:27:02,00:00:00:17,Unmuted,11594,17,1
1,950,Heartbeat Tempo Mapped-38.L   ,00:06:27:11,00:06:27:19,00:00:00:07,Unmuted,11621,7,0
1,951,Heartbeat Tempo Mapped-39.L   ,00:06:27:24,00:06:28:11,00:00:00:17,Unmuted,11634,17,1
1,952,Heartbeat Tempo Mapped-40.L   ,00:06:28:20,00:06:28:28,00:00:00:07,Unmuted,11660,7,0
1,954,Heartbeat Tempo Mapped-72.L   ,00:06:29:03,00:06:29:20,00:00:00:17,Unmuted,11673,17,0
