,Unnamed: 0,timestep,depth,Salinity,Theta,U,V,W
105,105,105,-16.294924,35.89041,26.386375,0.07752172,0.5241228,0.00021101098
106,106,106,-16.44535,35.89082,26.383644,0.07770316,0.5246554,0.00021132345
107,107,107,-16.59578,35.891228,26.380913,0.077884614,0.5251881,0.00021163592
108,108,108,-16.746208,35.891636,26.378181,0.078066066,0.5257207,0.0002119484
109,109,109,-16.896635,35.892044,26.37545,0.07824752,0.5262534,0.00021226087
110,110,110,-17.047064,35.892452,26.372719,0.07842897,0.526786,0.00021257334
111,111,111,-17.19749,35.89286,26.369987,0.07861042,0.52731866,0.00021288582
112,112,112,-17.34792,35.89327,26.367256,0.07879187,0.52785134,0.00021319829
113,113,113,-17.498346,35.893677,26.364525,0.078973316,0.528384,0.00021351076
114,114,114,-17.648775,35.894085,26.361794,0.07915477,0.52891666,0.00021382324
115,115,115,-17.799202,35.894524,26.358723,0.07920043,0.52956104,0.00021371145
116,116,116,-17.94963,35.89498,26.355446,0.07916505,0.5302721,0.00021334644
117,117,117,-18.100058,35.89544,26.35217,0.079129666,0.5309832,0.00021298144
118,118,118,-18.250486,35.895897,26.348896,0.079094276,0.53169423,0.00021261643
119,119,119,-18.400913,35.896355,26.34562,0.07905889,0.5324053,0.00021225144
120,120,120,-18.551342,35.896812,26.342344,0.07902351,0.5331164,0.00021188642
121,121,121,-18.701769,35.89727,26.33907,0.07898813,0.5338275,0.00021152143
122,122,122,-18.852198,35.897728,26.335793,0.07895274,0.53453857,0.00021115641
123,123,123,-19.002625,35.898186,26.332518,0.078917354,0.53524965,0.00021079142
124,124,124,-19.153053,35.898643,26.32924,0.07888197,0.53596073,0.00021042641
125,125,125,-19.30348,35.8991,26.325966,0.07884659,0.53667176,0.00021006141
126,126,126,-19.453909,35.89956,26.322691,0.078811206,0.53738284,0.0002096964
127,127,127,-19.604336,35.900013,26.319414,0.078775816,0.5380939,0.0002093314
128,128,128,-19.754765,35.90047,26.31614,0.07874043,0.538805,0.00020896639
129,129,129,-19.905193,35.90093,26.312864,0.07870505,0.5395161,0.00020860138
130,130,130,-20.05562,35.901386,26.309587,0.07866967,0.5402272,0.00020823638
131,131,131,-20.206049,35.901844,26.306313,0.078634284,0.54093826,0.00020787137
132,132,132,-20.356476,35.9023,26.303038,0.078598894,0.5416493,0.00020750637
133,133,133,-20.506905,35.90276,26.29976,0.07856351,0.54236037,0.00020714136
134,134,134,-20.657331,35.903217,26.296486,0.07852813,0.54307145,0.00020677636
135,135,135,-20.80776,35.903675,26.293211,0.078492746,0.54378253,0.00020641135
136,136,136,-20.958187,35.904133,26.289934,0.07845736,0.5444936,0.00020604634
137,137,137,-21.108616,35.90459,26.28666,0.07842197,0.5452047,0.00020568134
138,138,138,-21.259043,35.905178,26.28344,0.07791979,0.54611725,0.00020482119
139,139,139,-21.409472,35.90578,26.280226,0.07736054,0.54705447,0.0002039005
140,140,140,-21.559898,35.906384,26.277012,0.0768013,0.5479917,0.00020297983
141,141,141,-21.710327,35.90699,26.273798,0.07624205,0.5489289,0.00020205915
142,142,142,-21.860754,35.907593,26.270584,0.07568281,0.54986614,0.00020113848
143,143,143,-22.011183,35.908195,26.26737,0.07512356,0.55080336,0.0002002178
144,144,144,-22.16161,35.9088,26.264156,0.07456432,0.5517405,0.00019929712
145,145,145,-22.312038,35.9094,26.260942,0.07400507,0.55267775,0.00019837644
146,146,146,-22.462465,35.910007,26.257729,0.07344583,0.553615,0.00019745575
147,147,147,-22.612894,35.91061,26.254515,0.07288658,0.5545522,0.00019653508
148,148,148,-22.76332,35.911213,26.2513,0.07232734,0.5554894,0.0001956144
149,149,149,-22.91375,35.911816,26.248087,0.07176809,0.55642664,0.00019469371
150,150,150,-23.064177,35.912422,26.244873,0.07120885,0.5573638,0.00019377304
151,151,151,-23.214605,35.913025,26.24166,0.0706496,0.55830103,0.00019285236
152,152,152,-23.365032,35.913628,26.238445,0.07009036,0.55923826,0.00019193169
153,153,153,-23.515461,35.91423,26.235231,0.06953111,0.5601755,0.000191011
154,154,154,-23.665888,35.914833,26.232018,0.06897187,0.5611127,0.00019009033
155,155,155,-23.816317,35.91544,26.228804,0.06841262,0.5620499,0.00018916964
156,156,156,-23.966743,35.916042,26.225592,0.067853376,0.56298715,0.00018824897
157,157,157,-24.117172,35.916645,26.222378,0.06729413,0.5639243,0.00018732829
158,158,158,-24.2676,35.917248,26.219164,0.06673489,0.56486154,0.00018640762
159,159,159,-24.418028,35.91785,26.21595,0.06617564,0.56579876,0.00018548693
160,160,160,-24.568455,35.918457,26.212736,0.0656164,0.566736,0.00018456626
161,161,161,-24.718884,35.91906,26.209522,0.06505715,0.5676732,0.00018364558
162,162,162,-24.869312,35.919662,26.206308,0.0644979,0.5686104,0.00018272489
163,163,163,-25.01974,35.920303,26.203123,0.06392443,0.56958514,0.0001817843
164,164,164,-25.170168,35.92109,26.200058,0.06329322,0.570712,0.00018076283
165,165,165,-25.320595,35.921875,26.196995,0.062662005,0.57183886,0.00017974137
166,166,166,-25.471024,35.922665,26.19393,0.06203079,0.5729657,0.0001787199
167,167,167,-25.62145,35.92345,26.190865,0.06139958,0.5740925,0.00017769844
168,168,168,-25.77188,35.924236,26.1878,0.06076836,0.5752194,0.00017667697
169,169,169,-25.922306,35.925026,26.184734,0.060137153,0.5763462,0.00017565551
170,170,170,-26.072735,35.92581,26.18167,0.059505932,0.5774731,0.00017463404
171,171,171,-26.223162,35.926598,26.178604,0.058874726,0.57859993,0.00017361259
172,172,172,-26.37359,35.927387,26.17554,0.058243506,0.5797268,0.00017259111
173,173,173,-26.524017,35.928173,26.172476,0.057612296,0.58085364,0.00017156966
174,174,174,-26.674446,35.92896,26.16941,0.05698108,0.5819805,0.00017054818
175,175,175,-26.824873,35.92975,26.166346,0.05634987,0.58310735,0.00016952673
176,176,176,-26.975302,35.930534,26.16328,0.055718653,0.58423424,0.00016850526
177,177,177,-27.125729,35.93132,26.160215,0.055087443,0.58536106,0.0001674838
178,178,178,-27.276157,35.93211,26.15715,0.054456227,0.5864879,0.00016646233
179,179,179,-27.426584,35.932896,26.154085,0.053825017,0.5876148,0.00016544087
180,180,180,-27.577013,35.93368,26.151022,0.0531938,0.5887416,0.0001644194
181,181,181,-27.72744,35.934467,26.147957,0.052562587,0.5898685,0.00016339794
182,182,182,-27.877869,35.935257,26.144892,0.05193137,0.5909953,0.00016237647
183,183,183,-28.028296,35.936043,26.141827,0.05130016,0.5921222,0.00016135501
184,184,184,-28.178724,35.93683,26.138762,0.050668944,0.593249,0.00016033354
185,185,185,-28.329151,35.93762,26.135696,0.050037734,0.59437585,0.00015931208
186,186,186,-28.47958,35.938404,26.132631,0.049406517,0.59550273,0.00015829061
187,187,187,-28.630007,35.93919,26.129568,0.048775308,0.59662956,0.00015726915
188,188,188,-28.780436,35.93998,26.126503,0.04814409,0.59775645,0.00015624768
189,189,189,-28.930862,35.940765,26.123438,0.04751288,0.5988833,0.00015522623
190,190,190,-29.081291,35.94155,26.120373,0.046881665,0.60001016,0.00015420475
191,191,191,-29.231718,35.94234,26.117308,0.046250455,0.601137,0.0001531833
192,192,192,-29.382147,35.943226,26.11391,0.045632154,0.6023164,0.00015218602
193,193,193,-29.532576,35.944424,26.109503,0.04505326,0.6036559,0.00015126257
