,depth,U
83,-36.02921446566452,-0.06943688422367905
84,-36.45727729055204,-0.06966107207476248
85,-36.88534011543957,-0.06988525992584589
86,-37.313402940327094,-0.07010944777692932
87,-37.74146576521462,-0.07033363562801273
88,-38.16952859010214,-0.07055782347909614
89,-38.597591414989665,-0.07078201133017957
90,-39.02565423987719,-0.071006199181263
91,-39.45371706476472,-0.07123038703234641
92,-39.881779889652236,-0.07152102762102512
93,-40.30984271453976,-0.07192665242812903
94,-40.73790553942729,-0.07233227723523292
95,-41.165968364314814,-0.07273790204233681
96,-41.59403118920234,-0.0731435268494407
97,-42.02209401408986,-0.07354915165654459
98,-42.450156838977385,-0.0739547764636485
99,-42.87821966386491,-0.07436040127075239
100,-43.30628248875244,-0.07476602607785628
101,-43.734345313639956,-0.07517165088496017
102,-44.16240813852748,-0.07557727569206406
103,-44.59047096341501,-0.07598290049916795
104,-45.018533788302534,-0.07638852530627185
105,-45.44659661319005,-0.07679415011337574
106,-45.87465943807758,-0.07720459095693223
107,-46.302722262965105,-0.07771508233692374
108,-46.73078508785263,-0.07822557371691526
109,-47.15884791274015,-0.07873606509690677
110,-47.586910737627676,-0.07924655647689828
111,-48.0149735625152,-0.07975704785688979
112,-48.44303638740273,-0.0802675392368813
113,-48.871099212290254,-0.08077803061687282
114,-49.29916203717777,-0.08128852199686432
115,-49.7272248620653,-0.08179901337685584
116,-50.155287686952825,-0.08230950475684735
117,-50.58335051184035,-0.08281999613683887
118,-51.01141333672787,-0.08333048751683036
119,-51.439476161615396,-0.08384097889682188
120,-51.86753898650292,-0.08435147027681339
121,-52.29560181139045,-0.0848619616568049
122,-52.72366463627797,-0.08536731275809968
123,-53.15172746116549,-0.08581244258315297
124,-53.57979028605302,-0.08625757240820627
125,-54.007853110940545,-0.08670270223325956
126,-54.43591593582806,-0.08714783205831284
127,-54.86397876071559,-0.08759296188336613
128,-55.292041585603116,-0.08803809170841942
129,-55.72010441049064,-0.08848322153347271
130,-56.14816723537817,-0.088928351358526
131,-56.57623006026569,-0.0893734811835793
132,-57.00429288515321,-0.08981861100863259
133,-57.43235571004074,-0.09026374083368588
134,-57.860418534928264,-0.09070887065873917
135,-58.28848135981578,-0.09115400048379245
136,-58.71654418470331,-0.09159913030884574
137,-59.144607009590835,-0.09204426013389903
138,-59.57266983447836,-0.09248938995895234
139,-60.00073265936588,-0.09293451978400562
140,-60.428795484253406,-0.09331943630453415
141,-60.85685830914093,-0.0935913433331616
142,-61.28492113402846,-0.09386325036178904
143,-61.71298395891598,-0.09413515739041649
144,-62.1410467838035,-0.09440706441904392
145,-62.56910960869103,-0.09467897144767137
146,-62.997172433578555,-0.09495087847629882
147,-63.42523525846608,-0.09522278550492626
148,-63.8532980833536,-0.09549469253355371
149,-64.28136090824113,-0.09576659956218114
150,-64.70942373312865,-0.09603850659080859
151,-65.13748655801618,-0.09631041361943604
