SESSION NAME:	Copy of Heart of the Ocean 12min_pass_v07 - Jewel and Lester edit
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	30 Frame

M A R K E R S  L I S T I N G
#   	LOCATION     	TIME REFERENCE    	UNITS    	NAME                             	TRACK NAME                       	TRACK TYPE   	COMMENTS
7   	00:00:03:12  	164571            	Samples  	Start                            	Markers                          	Ruler                            	
1   	00:03:03:12  	8804571           	Samples  	Wind Mix                         	Markers                          	Ruler                            	
2   	00:06:03:12  	17444571          	Samples  	Midnight                         	Markers                          	Ruler                            	
3   	00:09:03:12  	26084571          	Samples  	Ascent                           	Markers                          	Ruler                            	
4   	00:11:48:12  	34004571          	Samples  	Temp rise                        	Markers                          	Ruler                            	
5   	00:11:58:12  	34484571          	Samples  	Cut to black                     	Markers                          	Ruler                            	
6   	00:12:03:12  	34724571          	Samples  	end                              	Markers                          	Ruler       


TRACK NAME:	Morgan 1 (Stereo)
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Clang Inst.02-cm_01-02.L      	   00:00:50:00	   00:00:53:25	   00:00:03:24	Unmuted
1       	2       	Clang Inst.02-cm_01-04.L      	   00:01:20:29	   00:01:24:21	   00:00:03:22	Unmuted
1       	3       	Clang Inst.02-cm_01-06.L      	   00:01:44:24	   00:01:48:16	   00:00:03:22	Unmuted
1       	4       	Clang Inst.02-cm_01-08.L      	   00:01:55:19	   00:01:59:14	   00:00:03:24	Unmuted
1       	5       	Clang Inst.02-cm_01-10.L      	   00:02:16:09	   00:02:20:00	   00:00:03:21	Unmuted
1       	6       	Clang Inst.02-cm_01-12.L      	   00:02:27:18	   00:02:31:12	   00:00:03:24	Unmuted
1       	7       	Clang Inst.02-cm_01-14.L      	   00:02:50:11	   00:02:53:29	   00:00:03:18	Unmuted
1       	8       	Clang Inst.02-cm_01-16.L      	   00:03:26:08	   00:03:30:03	   00:00:03:24	Unmuted
1       	9       	Clang Inst.02-cm_01-18.L      	   00:04:05:23	   00:04:09:12	   00:00:03:18	Unmuted
1       	10      	Clang Inst.02-cm_01-20.L      	   00:04:28:29	   00:04:32:17	   00:00:03:18	Unmuted
1       	11      	Clang Inst.02-cm_01-22.L      	   00:04:49:29	   00:04:53:20	   00:00:03:20	Unmuted
1       	12      	Clang Inst.02-cm_01-24.L      	   00:05:35:26	   00:05:39:15	   00:00:03:19	Unmuted
1       	13      	Clang Inst.02-cm_01-26.L      	   00:10:31:14	   00:10:35:09	   00:00:03:25	Unmuted
1       	14      	Clang Inst.02-cm_01-28.L      	   00:10:54:00	   00:10:57:20	   00:00:03:20	Unmuted
1       	15      	Clang Inst.02-cm_01-30.L      	   00:11:26:23	   00:11:30:12	   00:00:03:19	Unmuted
1       	16      	Clang Inst.02-cm_01-32.L      	   00:11:37:00	   00:11:40:18	   00:00:03:18	Unmuted
1       	17      	Clang Inst.02-cm_01-33.L      	   00:11:50:15	   00:11:54:05	   00:00:03:20	Unmuted
                    	
