timestep,depth,Theta
531,-60.75114,24.79955
532,-60.864605,24.795969
533,-60.978073,24.792389
534,-61.09154,24.788807
535,-61.20501,24.785227
536,-61.318478,24.781645
537,-61.431942,24.778065
538,-61.54541,24.774485
539,-61.65888,24.770903
540,-61.772346,24.767323
541,-61.88581,24.76374
542,-61.99928,24.76016
543,-62.112747,24.756578
544,-62.226215,24.752998
545,-62.339684,24.749416
546,-62.453148,24.745836
547,-62.566616,24.742256
548,-62.680084,24.738674
549,-62.793552,24.735094
550,-62.907017,24.731512
551,-63.020485,24.727932
552,-63.133953,24.724352
553,-63.24742,24.72077
554,-63.360886,24.71719
555,-63.474354,24.713608
556,-63.587822,24.710028
557,-63.70129,24.706446
558,-63.81476,24.702866
559,-63.928223,24.699286
560,-64.04169,24.695704
561,-64.15516,24.692123
562,-64.26863,24.688541
563,-64.382095,24.684961
564,-64.49556,24.68138
565,-64.609024,24.6778
566,-64.722496,24.674217
567,-64.83596,24.670637
568,-64.94943,24.667057
569,-65.0629,24.663475
570,-65.17636,24.659895
571,-65.28983,24.656313
572,-65.4033,24.652733
573,-65.51677,24.64915
574,-65.63023,24.64557
575,-65.7437,24.64199
576,-65.85717,24.638409
577,-65.970634,24.634829
578,-66.08411,24.631247
579,-66.19757,24.627666
580,-66.311035,24.624086
581,-66.42451,24.620504
582,-66.53797,24.616924
583,-66.651436,24.613342
584,-66.76491,24.609762
585,-66.87837,24.60618
586,-66.991844,24.6026
587,-67.10531,24.59902
588,-67.21877,24.595438
589,-67.332245,24.591858
590,-67.44571,24.588276
591,-67.55918,24.584696
592,-67.672646,24.581114
593,-67.78611,24.577534
594,-67.89958,24.573952
595,-68.01305,24.570372
596,-68.12651,24.566792
597,-68.23998,24.56321
598,-68.35345,24.55963
599,-68.46692,24.556047
600,-68.58038,24.552467
601,-68.69385,24.54901
602,-68.80732,24.546995
603,-68.920784,24.544983
604,-69.034256,24.542969
605,-69.14772,24.540956
606,-69.261185,24.538942
607,-69.37466,24.53693
608,-69.48812,24.534916
609,-69.60159,24.532904
610,-69.71506,24.530891
611,-69.82852,24.528877
612,-69.94199,24.526865
613,-70.05546,24.52485
614,-70.16892,24.522839
615,-70.282394,24.520824
616,-70.39586,24.518812
617,-70.50933,24.516798
618,-70.622795,24.514786
619,-70.73626,24.512772
620,-70.84973,24.51076
621,-70.963196,24.508747
622,-71.07667,24.506733
623,-71.19013,24.50472
624,-71.3036,24.502707
625,-71.41707,24.500694
626,-71.53053,24.49868
627,-71.644,24.496668
628,-71.75747,24.494654
629,-71.87093,24.492641
630,-71.984406,24.490627
631,-72.09787,24.488615
632,-72.211334,24.486603
633,-72.32481,24.484589
634,-72.43827,24.482576
635,-72.55174,24.480562
636,-72.66521,24.47855
637,-72.77867,24.476536
638,-72.89214,24.474524
639,-73.00561,24.47251
640,-73.11908,24.470497
641,-73.232544,24.468483
642,-73.34601,24.46647
643,-73.45948,24.464458
644,-73.572945,24.462444
645,-73.68641,24.460432
646,-73.79988,24.458418
647,-73.913345,24.456406
648,-74.02682,24.454391
649,-74.14028,24.45238
650,-74.253746,24.450365
651,-74.36722,24.448353
652,-74.48068,24.44634
653,-74.594154,24.444326
654,-74.70762,24.442314
655,-74.82108,24.4403
656,-74.934555,24.438288
657,-75.04802,24.436274
658,-75.16148,24.434261
659,-75.274956,24.432247
660,-75.38842,24.430235
661,-75.50189,24.42822
662,-75.61536,24.426208
663,-75.72882,24.424196
664,-75.84229,24.422182
665,-75.95576,24.42017
666,-76.06923,24.418156
667,-76.18269,24.416143
668,-76.29616,24.41413
669,-76.40963,24.412117
670,-76.523094,24.410103
671,-76.63656,24.40809
672,-76.75003,24.406076
673,-76.863495,24.404064
674,-76.97697,24.40205
675,-77.09043,24.400038
676,-77.203896,24.398026
677,-77.31737,24.396011
678,-77.43083,24.394
679,-77.544304,24.391985
680,-77.65777,24.389973
681,-77.77123,24.387959
682,-77.884705,24.385946
683,-77.99817,24.384283
684,-78.11164,24.38347
685,-78.225105,24.382656
686,-78.33857,24.381844
687,-78.45204,24.38103
688,-78.565506,24.380215
689,-78.67897,24.379402
690,-78.79244,24.378588
691,-78.90591,24.377775
692,-79.01938,24.37696
693,-79.13284,24.376148
694,-79.24631,24.375334
695,-79.35978,24.37452
696,-79.47324,24.373707
697,-79.586716,24.372892
698,-79.70018,24.37208
699,-79.813644,24.371265
700,-79.92712,24.370453
701,-80.04058,24.369638
702,-80.154045,24.368824
703,-80.26752,24.368011
704,-80.38098,24.367197
705,-80.49445,24.366385
706,-80.60792,24.36557
707,-80.72138,24.364758
708,-80.834854,24.363943
709,-80.94832,24.363129
710,-81.06179,24.362316
711,-81.175255,24.361502
712,-81.28872,24.36069
713,-81.40219,24.359875
714,-81.515656,24.35906
715,-81.62913,24.358248
716,-81.74259,24.357433
717,-81.85606,24.35662
718,-81.96953,24.355806
719,-82.08299,24.354994
720,-82.19646,24.35418
721,-82.30993,24.353365
722,-82.42339,24.352552
723,-82.536865,24.351738
724,-82.65033,24.350925
725,-82.763794,24.350111
726,-82.877266,24.349298
727,-82.99073,24.348484
728,-83.1042,24.34767
729,-83.21767,24.346857
730,-83.33113,24.346043
731,-83.4446,24.34523
732,-83.55807,24.344416
733,-83.67153,24.343603
734,-83.785,24.342789
735,-83.89847,24.341974
736,-84.01194,24.341162
737,-84.125404,24.340347
738,-84.23887,24.339535
739,-84.35234,24.33872
740,-84.465805,24.337908
741,-84.57928,24.337093
742,-84.69274,24.336279
743,-84.806206,24.335466
744,-84.91968,24.334652
745,-85.03314,24.33384
746,-85.14661,24.333025
747,-85.26008,24.332212
748,-85.37354,24.331398
749,-85.487015,24.330584
750,-85.60048,24.329771
751,-85.71394,24.328957
752,-85.827415,24.328144
753,-85.94088,24.32733
754,-86.05435,24.326515
755,-86.167816,24.325703
756,-86.28128,24.324888
757,-86.39475,24.324076
758,-86.50822,24.323261
759,-86.62169,24.322449
760,-86.73515,24.321634
761,-86.84862,24.32082
762,-86.96209,24.320007
763,-87.075554,24.319193
764,-87.18902,24.31838
765,-87.30249,24.317566
766,-87.415955,24.316753
767,-87.52943,24.315939
768,-87.64289,24.315125
769,-87.756355,24.314312
770,-87.86983,24.313498
771,-87.98329,24.312685
772,-88.09676,24.31187
773,-88.21023,24.311243
774,-88.32369,24.31103
775,-88.437164,24.310814
776,-88.55063,24.310598
777,-88.66409,24.310385
778,-88.777565,24.31017
779,-88.89103,24.309956
780,-89.0045,24.30974
781,-89.117966,24.309526
782,-89.23143,24.30931
783,-89.3449,24.309097
784,-89.45837,24.308882
785,-89.57184,24.308668
786,-89.6853,24.308453
787,-89.79877,24.308239
788,-89.91224,24.308023
789,-90.0257,24.30781
790,-90.139175,24.307594
791,-90.25264,24.30738
792,-90.366104,24.307165
793,-90.479576,24.306952
794,-90.59304,24.306736
795,-90.706505,24.306522
796,-90.81998,24.306307
797,-90.93344,24.306091
798,-91.04691,24.305878
799,-91.16038,24.305662
800,-91.27384,24.305449
801,-91.387314,24.305233
802,-91.50078,24.30502
803,-91.61425,24.304804
804,-91.727715,24.30459
805,-91.84118,24.304375
806,-91.95465,24.304161
807,-92.068115,24.303946
808,-92.18158,24.303732
809,-92.29505,24.303516
810,-92.408516,24.303303
811,-92.52199,24.303087
812,-92.63545,24.302874
813,-92.74892,24.302658
814,-92.86239,24.302444
815,-92.97585,24.302229
816,-93.089325,24.302015
817,-93.20279,24.3018
818,-93.31625,24.301584
819,-93.429726,24.30137
820,-93.54319,24.301155
821,-93.656654,24.300941
822,-93.77013,24.300726
823,-93.88359,24.300512
824,-93.99706,24.300297
825,-94.11053,24.300083
826,-94.22399,24.299868
827,-94.33746,24.299654
828,-94.45093,24.299438
829,-94.5644,24.299225
830,-94.677864,24.29901
831,-94.79133,24.298796
832,-94.9048,24.29858
833,-95.018265,24.298367
834,-95.13174,24.298151
835,-95.2452,24.297937
836,-95.358665,24.297722
837,-95.47214,24.297506
838,-95.5856,24.297293
839,-95.699066,24.297077
840,-95.81254,24.296864
841,-95.926,24.296648
842,-96.039474,24.296434
843,-96.15294,24.296219
844,-96.2664,24.296005
845,-96.379875,24.29579
846,-96.49334,24.295576
847,-96.60681,24.29536
848,-96.720276,24.295147
849,-96.83374,24.294931
850,-96.94721,24.294718
851,-97.06068,24.294502
852,-97.17414,24.294289
853,-97.28761,24.294073
854,-97.40108,24.29386
855,-97.51455,24.293644
856,-97.62801,24.29343
857,-97.74148,24.293215
858,-97.85495,24.293
859,-97.968414,24.292786
860,-98.08189,24.29257
861,-98.19535,24.292356
862,-98.308815,24.292141
863,-98.42229,24.291927
864,-98.53575,24.291712
865,-98.64922,24.291498
866,-98.76269,24.291283
867,-98.87615,24.291069
868,-98.989624,24.290854
869,-99.10309,24.29064
870,-99.21655,24.290424
871,-99.330025,24.29021
872,-99.44349,24.28938
873,-99.55696,24.288214
874,-99.670425,24.287046
