CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	503     	Heart Beat.01_01-28           	   00:05:05:16	   00:05:06:03	   00:00:00:16	Unmuted
1       	504     	Heart Beat.01_01-30           	   00:05:06:06	   00:05:06:14	   00:00:00:07	Unmuted
1       	505     	Heart Beat.01_01-32           	   00:05:06:16	   00:05:07:02	   00:00:00:16	Unmuted
1       	506     	Heart Beat.01_01-34           	   00:05:07:05	   00:05:07:13	   00:00:00:07	Unmuted
1       	507     	Heart Beat.01_01-36           	   00:05:07:15	   00:05:07:22	   00:00:00:07	Unmuted
1       	508     	Heart Beat.01_01-38           	   00:05:08:04	   00:05:08:12	   00:00:00:07	Unmuted
1       	509     	Heart Beat.01_01-40           	   00:05:08:14	   00:05:08:21	   00:00:00:07	Unmuted
1       	510     	Heart Beat.01_01-42           	   00:05:09:03	   00:05:09:11	   00:00:00:07	Unmuted
1       	511     	Heart Beat.01_01-44           	   00:05:09:13	   00:05:10:00	   00:00:00:16	Unmuted
1       	512     	Heart Beat.01_01-46           	   00:05:10:03	   00:05:10:11	   00:00:00:07	Unmuted
1       	513     	Heart Beat.01_01-48           	   00:05:10:12	   00:05:10:29	   00:00:00:16	Unmuted
1       	514     	Heart Beat.01_01-50           	   00:05:11:02	   00:05:11:10	   00:00:00:07	Unmuted
1       	515     	Heart Beat.01_01-52           	   00:05:11:12	   00:05:11:28	   00:00:00:16	Unmuted
1       	516     	Heart Beat.01_01-54           	   00:05:12:01	   00:05:12:09	   00:00:00:07	Unmuted
1       	517     	Heart Beat.01_01-56           	   00:05:12:11	   00:05:12:27	   00:00:00:16	Unmuted
1       	518     	Heart Beat.01_01-58           	   00:05:13:00	   00:05:13:08	   00:00:00:07	Unmuted
1       	519     	Heart Beat.01_01-60           	   00:05:13:10	   00:05:13:27	   00:00:00:16	Unmuted
1       	520     	Heart Beat.01_01-62           	   00:05:14:00	   00:05:14:08	   00:00:00:07	Unmuted
1       	521     	Heart Beat.01_01-44           	   00:05:14:10	   00:05:14:26	   00:00:00:16	Unmuted
1       	522     	Heart Beat.01_01-02           	   00:05:14:29	   00:05:15:07	   00:00:00:07	Unmuted
1       	523     	Heart Beat.01_01-04           	   00:05:15:09	   00:05:15:25	   00:00:00:16	Unmuted
1       	524     	Heart Beat.01_01-06           	   00:05:15:29	   00:05:16:07	   00:00:00:07	Unmuted
1       	525     	Heart Beat.01_01-08           	   00:05:16:08	   00:05:16:25	   00:00:00:16	Unmuted
1       	526     	Heart Beat.01_01-10           	   00:05:16:28	   00:05:17:06	   00:00:00:07	Unmuted
1       	527     	Heart Beat.01_01-12           	   00:05:17:08	   00:05:17:24	   00:00:00:16	Unmuted
1       	528     	Heart Beat.01_01-14           	   00:05:17:27	   00:05:18:05	   00:00:00:07	Unmuted
1       	529     	Heart Beat.01_01-16           	   00:05:18:07	   00:05:18:24	   00:00:00:16	Unmuted
1       	530     	Heart Beat.01_01-18           	   00:05:18:27	   00:05:19:05	   00:00:00:07	Unmuted
1       	531     	Heart Beat.01_01-20           	   00:05:19:07	   00:05:19:23	   00:00:00:16	Unmuted
1       	532     	Heart Beat.01_01-22           	   00:05:19:26	   00:05:20:04	   00:00:00:07	Unmuted
1       	533     	Heart Beat.01_01-24           	   00:05:20:06	   00:05:20:23	   00:00:00:16	Unmuted
1       	534     	Heart Beat.01_01-26           	   00:05:20:26	   00:05:21:04	   00:00:00:07	Unmuted
