timestep,depth,W
608,-91.96013,-3.2078045e-05
609,-92.11056,-3.2043565e-05
610,-92.26099,-3.2009084e-05
611,-92.411415,-3.1974603e-05
612,-92.561844,-3.1940122e-05
613,-92.71227,-3.190564e-05
614,-92.8627,-3.187116e-05
615,-93.01313,-3.1836684e-05
616,-93.16355,-3.1802203e-05
617,-93.31398,-3.1767722e-05
618,-93.46441,-3.173324e-05
619,-93.61484,-3.169876e-05
620,-93.76527,-3.166428e-05
621,-93.915695,-3.1629803e-05
622,-94.066124,-3.1595322e-05
623,-94.21655,-3.156084e-05
624,-94.366974,-3.152636e-05
625,-94.5174,-3.149188e-05
626,-94.66783,-3.14574e-05
627,-94.81826,-3.142292e-05
628,-94.96869,-3.1388437e-05
629,-95.11912,-3.135396e-05
630,-95.26955,-3.131948e-05
631,-95.419975,-3.1285e-05
632,-95.5704,-3.1250518e-05
633,-95.720825,-3.1216037e-05
634,-95.871254,-3.1181557e-05
635,-96.02168,-3.114708e-05
636,-96.17211,-3.11126e-05
637,-96.32254,-3.1078118e-05
638,-96.47297,-3.1043637e-05
639,-96.6234,-3.1009156e-05
640,-96.77382,-3.0974676e-05
641,-96.92425,-3.0940195e-05
642,-97.07468,-3.0905714e-05
643,-97.225105,-3.0871237e-05
644,-97.375534,-3.0836756e-05
645,-97.52596,-3.0802275e-05
646,-97.67639,-3.0767795e-05
647,-97.82682,-3.0733314e-05
648,-97.97725,-3.0698833e-05
649,-98.12767,-3.0664352e-05
650,-98.2781,-3.0629875e-05
651,-98.42853,-3.0595394e-05
652,-98.57896,-3.0560914e-05
653,-98.729385,-3.0526433e-05
654,-98.879814,-3.0491952e-05
655,-99.03024,-3.0457471e-05
656,-99.18067,-3.042299e-05
657,-99.33109,-3.0388512e-05
658,-99.48152,-3.0361782e-05
659,-99.63195,-3.0337756e-05
660,-99.78238,-3.0313731e-05
661,-99.93281,-3.0289706e-05
662,-100.08324,-3.026568e-05
663,-100.233665,-3.0241656e-05
664,-100.384094,-3.0217629e-05
665,-100.534515,-3.0193605e-05
666,-100.684944,-3.016958e-05
667,-100.83537,-3.0145555e-05
668,-100.9858,-3.0121528e-05
669,-101.13623,-3.0097503e-05
670,-101.28666,-3.0073477e-05
671,-101.43709,-3.0049452e-05
672,-101.58752,-3.0025427e-05
673,-101.737946,-3.0001402e-05
674,-101.88837,-2.9977376e-05
675,-102.038795,-2.9953351e-05
676,-102.189224,-2.9929326e-05
677,-102.33965,-2.99053e-05
678,-102.49008,-2.9881274e-05
679,-102.64051,-2.9857249e-05
680,-102.79094,-2.9833223e-05
681,-102.94137,-2.9809198e-05
682,-103.09179,-2.9785175e-05
683,-103.24222,-2.9761148e-05
684,-103.39265,-2.9737123e-05
685,-103.543076,-2.9713097e-05
686,-103.693504,-2.9689072e-05
687,-103.84393,-2.9665047e-05
688,-103.99436,-2.9641022e-05
689,-104.14479,-2.9616995e-05
690,-104.29521,-2.9592971e-05
691,-104.44564,-2.9568946e-05
692,-104.59607,-2.954492e-05
693,-104.7465,-2.9520896e-05
694,-104.89693,-2.9496869e-05
695,-105.047356,-2.9472843e-05
696,-105.197784,-2.9448818e-05
697,-105.34821,-2.9424793e-05
698,-105.498634,-2.9400768e-05
699,-105.64906,-2.9376743e-05
700,-105.79949,-2.9352717e-05
701,-105.94992,-2.9328692e-05
702,-106.10035,-2.9304667e-05
703,-106.25078,-2.9280642e-05
704,-106.40121,-2.9256615e-05
705,-106.551636,-2.923259e-05
706,-106.702065,-2.9208564e-05
707,-106.852486,-2.918454e-05
708,-107.002914,-2.9160516e-05
709,-107.15334,-2.9136489e-05
710,-107.30377,-2.9112463e-05
711,-107.4542,-2.9088438e-05
712,-107.60463,-2.9064413e-05
713,-107.75506,-2.9040388e-05
714,-107.90549,-2.9016363e-05
715,-108.05591,-2.8992337e-05
716,-108.20634,-2.8968312e-05
717,-108.356766,-2.8944287e-05
718,-108.507195,-2.8920262e-05
719,-108.65762,-2.8896236e-05
720,-108.80805,-2.887221e-05
721,-108.95848,-2.8848184e-05
722,-109.10891,-2.8824159e-05
723,-109.25933,-2.8800136e-05
724,-109.40976,-2.8776109e-05
725,-109.56019,-2.8752083e-05
726,-109.71062,-2.8728058e-05
727,-109.861046,-2.8704033e-05
728,-110.011475,-2.8680008e-05
729,-110.1619,-2.8655983e-05
730,-110.31233,-2.8631956e-05
731,-110.46275,-2.8607932e-05
