,depth,current
140,-156.82250549197693,0.05987606572468698
141,-157.93909481691963,0.05977734939384321
142,-159.05568414186232,0.059678633062999434
143,-160.172273466805,0.05957991673215566
144,-161.2888627917477,0.059481200401311884
145,-162.40545211669038,0.05938248407046811
146,-163.5220414416331,0.05928376773962433
147,-164.63863076657577,0.059185051408780553
148,-165.75522009151848,0.05908633507793678
149,-166.87180941646116,0.058987618747093004
150,-167.98839874140384,0.05888890241624923
151,-169.10498806634655,0.058790186085405455
152,-170.22157739128923,0.05869146975456168
153,-171.33816671623194,0.0585927534237179
154,-172.45475604117462,0.05842454744016005
155,-173.57134536611733,0.05820262302080812
156,-174.68793469106,0.0579806986014562
157,-175.8045240160027,0.05775877418210428
158,-176.9211133409454,0.057536849762752355
159,-178.03770266588808,0.057314925343400436
