CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	632     	Heartbeat Tempo Mapped-35.L   	   00:04:06:06	   00:04:06:25	   00:00:00:18	Unmuted
1       	633     	Heartbeat Tempo Mapped-36.L   	   00:04:06:26	   00:04:07:03	   00:00:00:07	Unmuted
1       	634     	Heartbeat Tempo Mapped-37.L   	   00:04:07:04	   00:04:07:22	   00:00:00:17	Unmuted
1       	635     	Heartbeat Tempo Mapped-38.L   	   00:04:07:23	   00:04:08:01	   00:00:00:08	Unmuted
1       	636     	Heartbeat Tempo Mapped-39.L   	   00:04:08:02	   00:04:08:19	   00:00:00:17	Unmuted
1       	637     	Heartbeat Tempo Mapped-40.L   	   00:04:08:20	   00:04:08:29	   00:00:00:08	Unmuted
1       	638     	Heartbeat Tempo Mapped-41.L   	   00:04:08:29	   00:04:08:29	   00:00:00:00	Unmuted
1       	639     	Heartbeat Tempo Mapped-42.L   	   00:04:08:29	   00:04:09:17	   00:00:00:17	Unmuted
1       	640     	Heartbeat Tempo Mapped-34.L   	   00:04:09:18	   00:04:09:26	   00:00:00:07	Unmuted
1       	641     	Heartbeat Tempo Mapped-35.L   	   00:04:09:26	   00:04:10:14	   00:00:00:18	Unmuted
1       	642     	Heartbeat Tempo Mapped-36.L   	   00:04:10:15	   00:04:10:23	   00:00:00:07	Unmuted
1       	643     	Heartbeat Tempo Mapped-37.L   	   00:04:10:24	   00:04:11:12	   00:00:00:17	Unmuted
1       	644     	Heartbeat Tempo Mapped-38.L   	   00:04:11:13	   00:04:11:21	   00:00:00:08	Unmuted
1       	645     	Heartbeat Tempo Mapped-39.L   	   00:04:11:22	   00:04:12:09	   00:00:00:17	Unmuted
1       	646     	Heartbeat Tempo Mapped-40.L   	   00:04:12:10	   00:04:12:19	   00:00:00:08	Unmuted
1       	647     	Heartbeat Tempo Mapped-41.L   	   00:04:12:19	   00:04:12:19	   00:00:00:00	Unmuted
1       	648     	Heartbeat Tempo Mapped-42.L   	   00:04:12:19	   00:04:13:07	   00:00:00:17	Unmuted
1       	649     	Heartbeat Tempo Mapped-34.L   	   00:04:13:08	   00:04:13:16	   00:00:00:07	Unmuted
1       	650     	Heartbeat Tempo Mapped-35.L   	   00:04:13:16	   00:04:14:05	   00:00:00:18	Unmuted
1       	651     	Heartbeat Tempo Mapped-36.L   	   00:04:14:06	   00:04:14:14	   00:00:00:07	Unmuted
1       	652     	Heartbeat Tempo Mapped-37.L   	   00:04:14:14	   00:04:15:02	   00:00:00:17	Unmuted
1       	653     	Heartbeat Tempo Mapped-38.L   	   00:04:15:03	   00:04:15:12	   00:00:00:08	Unmuted
1       	654     	Heartbeat Tempo Mapped-39.L   	   00:04:15:12	   00:04:16:00	   00:00:00:17	Unmuted
1       	655     	Heartbeat Tempo Mapped-40.L   	   00:04:16:01	   00:04:16:09	   00:00:00:08	Unmuted
1       	656     	Heartbeat Tempo Mapped-41.L   	   00:04:16:10	   00:04:16:10	   00:00:00:00	Unmuted
1       	657     	Heartbeat Tempo Mapped-42.L   	   00:04:16:10	   00:04:16:27	   00:00:00:17	Unmuted
1       	658     	Heartbeat Tempo Mapped-34.L   	   00:04:16:29	   00:04:17:06	   00:00:00:07	Unmuted
1       	659     	Heartbeat Tempo Mapped-35.L   	   00:04:17:07	   00:04:17:25	   00:00:00:18	Unmuted
1       	660     	Heartbeat Tempo Mapped-36.L   	   00:04:17:26	   00:04:18:04	   00:00:00:07	Unmuted
1       	661     	Heartbeat Tempo Mapped-37.L   	   00:04:18:05	   00:04:18:23	   00:00:00:17	Unmuted
