CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,70,Ding.L                        ,00:11:03:01,00:11:03:23,00:00:00:21,Unmuted,19891,21,0
1,71,Ding.L                        ,00:11:07:05,00:11:07:26,00:00:00:21,Unmuted,20015,21,1
1,72,Ding.L                        ,00:11:11:09,00:11:12:00,00:00:00:21,Unmuted,20139,21,0
1,73,Ding.L                        ,00:11:15:12,00:11:16:04,00:00:00:21,Unmuted,20262,21,1
1,74,Ding.L                        ,00:11:19:16,00:11:20:07,00:00:00:21,Unmuted,20386,21,0
1,75,Ding.L                        ,00:11:23:20,00:11:24:11,00:00:00:21,Unmuted,20510,21,1
1,76,Ding.L                        ,00:11:27:24,00:11:28:15,00:00:00:21,Unmuted,20634,21,0
1,77,Ding.L                        ,00:11:31:27,00:11:32:19,00:00:00:21,Unmuted,20757,21,1
1,78,Ding.L                        ,00:11:36:01,00:11:36:22,00:00:00:21,Unmuted,20881,21,0
1,79,Ding.L                        ,00:11:40:05,00:11:40:26,00:00:00:21,Unmuted,21005,21,1
1,80,Ding.L                        ,00:11:44:09,00:11:45:00,00:00:00:21,Unmuted,21129,21,0
1,81,Ding.L                        ,00:11:48:12,00:11:49:04,00:00:00:21,Unmuted,21252,21,1
